Universitas,Program Studi,Jenjang,Email,Status,Email_Lama
Universitas Internasional Batam,Arsitektur,S1,info@uib.edu,Sukses,arsitektur@universitasinternasionalbatam.ac.id
Universitas Sumatera Utara,Ilmu Arsitektur Dan Perkotaan,S3,mtausu2002@yahoo.com,Gagal,ilmuarsitekturdanperkotaan@universitassumaterautara.ac.id
Universitas Islam Negeri Walisongo Semarang,Ilmu Seni Dan Arsitektur Islam,S1,fuhum@walisongo.ac.id,Gagal,ilmusenidanarsitekturislam@universitasislamnegeriwalisongosemarang.ac.id
Universitas Kristen Indonesia,Arsitektur,S1,ukit.gmim@gmail.com,Sukses,arsitektur@universitaskristenindonesia.ac.id
Universitas Bina Nusantara,Arsitektur,S1,misnaeni@binus.edu,Sukses,arsitektur@universitasbinanusantara.ac.id
Universitas Widya Mataram,Arsitektur,S1,ft@widyamataram.ac.id,Sukses,arsitektur@universitaswidyamataram.ac.id
Universitas Katolik Parahyangan,Arsitektur,S2,pasca@home.unpar.ac.id,Gagal,arsitektur@universitaskatolikparahyangan.ac.id
Universitas Kristen Maranatha,Arsitektur,S1,architecture.creahum@maranatha.edu,Sukses,arsitektur@universitaskristenmaranatha.ac.id
Universitas Selamat Sri,Arsitektur,S1,arsitektur.uniss@gmail.com,Sukses,arsitektur@universitasselamatsri.ac.id
Politeknik Negeri Pontianak,Arsitektur Bangunan Gedung,D-IV,jta.polnep@gmail.com,Gagal,arsitekturbangunangedung@politekniknegeripontianak.ac.id
Institut Teknologi Sumatera,Arsitektur Lanskap,S1,-,Email Kosong,arsitekturlanskap@institutteknologisumatera.ac.id
Universitas Katolik Soegijapranata,Arsitektur,S2,mtaunika@yahoo.co.id,Sukses,arsitektur@universitaskatoliksoegijapranata.ac.id
Institut Teknologi Minaesa,Arsitektur,S1,arsitektur@itmtomohon.ac.id,Sukses,arsitektur@institutteknologiminaesa.ac.id
Universitas 17 Agustus 1945 Semarang,Arsitektur,S1,sekjur@archuntagsmg.co.cc,Gagal,arsitektur@universitas17agustus1945semarang.ac.id
Universitas Pendidikan Indonesia,Pendidikan Teknik Arsitektur,S1,prodi_pendarsitek_fptk@upi.edu,Gagal,pendidikanteknikarsitektur@universitaspendidikanindonesia.ac.id
Universitas Syiah Kuala,Arsitektur,S2,s2ars@unsyiah.ac.id,Gagal,arsitektur@universitassyiahkuala.ac.id
Universitas Ibrahimy,Arsitektur,S1,unib2018@ibrahimy.ac.id,Sukses,arsitektur@universitasibrahimy.ac.id
Institut Teknologi Garut,Arsitektur,S1,arsitektur@itg.ac.id,Sukses,arsitektur@institutteknologigarut.ac.id
Universitas Hasanuddin,Arsitektur,S1,arsitek@ft.unhas.ac.id,Gagal,arsitektur@universitashasanuddin.ac.id
Universitas Tomakaka,Arsitektur,S1,tarsitektur.unika@gmail.com,Sukses,arsitektur@universitastomakaka.ac.id
Universitas Agung Podomoro,Arsitektur,S1,rektorat@podomorouniversity.ac.id,Sukses,arsitektur@universitasagungpodomoro.ac.id
Universitas Indonesia,Arsitektur,S1,arsitektur@eng.ui.ac.id,Gagal,arsitektur@universitasindonesia.ac.id
Institut Teknologi Calvin,Arsitektur,S1,-,Email Kosong,arsitektur@institutteknologicalvin.ac.id
Universitas Nusantara Manado,Arsitektur,S1,info@nusantara.ac.id,Sukses,arsitektur@universitasnusantaramanado.ac.id
Universitas Quality Berastagi,Arsitektur,S1,-,Email Kosong,arsitektur@universitasqualityberastagi.ac.id
Universitas Bhinneka PGRI,Arsitektur,S1,arsitektur@ubhi.ac.id,Sukses,arsitektur@universitasbhinnekapgri.ac.id
Institut Teknologi Sepuluh Nopember,Arsitektur,S1,arsitektur@its.ac.id,Sukses,arsitektur@institutteknologisepuluhnopember.ac.id
Universitas Gunadarma,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasgunadarma.ac.id
Universitas Muhammadiyah Surakarta,Arsitektur,S1,arsitektur@ums.ac.id,Gagal,arsitektur@universitasmuhammadiyahsurakarta.ac.id
Universitas Ekasakti,Arsitektur,S1,puskom@univ-ekasakti-pdg.ac.id,Sukses,arsitektur@universitasekasakti.ac.id
Universitas Lancang Kuning,Arsitektur,S1,arsitektur@unilak.ac.id,Sukses,arsitektur@universitaslancangkuning.ac.id
Universitas Sam Ratulangi,Arsitektur,S1,sim_usr@unsrat.ac.id,Gagal,arsitektur@universitassamratulangi.ac.id
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Gambar Arsitektur,D-III,admin@starsykpn.ac.id,Gagal,gambararsitektur@sekolahtinggiarsitekturykpnyogyakarta.ac.id
Universitas Muhammadiyah Aceh,Arsitektur,S1,prodi.arsitektur@unmuha.ac.id,Sukses,arsitektur@universitasmuhammadiyahaceh.ac.id
Universitas Presiden,Arsitektur,S1,arc@president.ac.id,Sukses,arsitektur@universitaspresiden.ac.id
Institut Seni Indonesia Surakarta,Arsitektur,S1,-,Email Kosong,arsitektur@institutseniindonesiasurakarta.ac.id
Universitas Prima Indonesia,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasprimaindonesia.ac.id
Universitas Katolik Parahyangan,Ilmu Arsitektur,S3,pasca@home.unpar.ac.id,Gagal,ilmuarsitektur@universitaskatolikparahyangan.ac.id
Universitas Brawijaya,Arsitektur,S1,arsftub@ub.ac.id,Gagal,arsitektur@universitasbrawijaya.ac.id
Institut Sains Dan Teknologi Nasional,Arsitektur Lanskap,S1,-,Email Kosong,arsitekturlanskap@institutsainsdanteknologinasional.ac.id
Institut Sains Dan Teknologi Nasional,Arsitektur,S1,fti@istn.ac.id,Sukses,arsitektur@institutsainsdanteknologinasional.ac.id
Universitas Kristen Duta Wacana,Arsitektur,S2,admin.mars@staff.ukdw.ac.id,Sukses,arsitektur@universitaskristendutawacana.ac.id
Universitas Yapis Papua,Arsitektur,S1,arsitekturuniyap@gmail.com,Sukses,arsitektur@universitasyapispapua.ac.id
Politeknik Negeri Sriwijaya,Arsitektur Bangunan Gedung,D-IV,info@polsri.ac.id,Gagal,arsitekturbangunangedung@politekniknegerisriwijaya.ac.id
Institut Teknologi Bandung,Arsitektur,S2,sekres2@ar.itb.ac.id,Gagal,arsitektur@institutteknologibandung.ac.id
Institut Teknologi Bandung,Arsitektur,S1,sekres2@ar.itb.ac.id,Gagal,arsitektur@institutteknologibandung.ac.id
Institut Teknologi Bacharuddin Jusuf Habibie,Arsitektur,S1,KOSONG,Email Kosong,arsitektur@institutteknologibacharuddinjusufhabibie.ac.id
Universitas Al Washliyah Darussalam Banda Aceh,Arsitektur,S1,Unadabna@gmail.com,Sukses,arsitektur@universitasalwashliyahdarussalambandaaceh.ac.id
Universitas Madani,Arsitektur,S1,info@umad.ac.id,Sukses,arsitektur@universitasmadani.ac.id
Universitas Sam Ratulangi,Arsitektur,S3,KOSONG,Gagal,arsitektur@universitassamratulangi.ac.id
Universitas Sebelas Maret,Arsitektur,S1,arsitek.@uns.ac.id,Gagal,arsitektur@universitassebelasmaret.ac.id
Universitas Borobudur,Arsitektur,S1,ft@borobudur.ac.id,Sukses,arsitektur@universitasborobudur.ac.id
Universitas Udayana,Arsitektur,S2,pasca.arsitektur@ar.unud.ac.id,Gagal,arsitektur@universitasudayana.ac.id
Universitas Warmadewa,Arsitektur,S1,ft.ta@warmadewa.ac.id,Gagal,arsitektur@universitaswarmadewa.ac.id
Universitas Muhammadiyah Bengkulu,Arsitektur,S1,Arch.UMB2022@gmail.com,Gagal,arsitektur@universitasmuhammadiyahbengkulu.ac.id
Universitas Negeri Manado,Arsitektur,S1,-,Email Kosong,arsitektur@universitasnegerimanado.ac.id
Universitas Tunas Pembangunan Surakarta (UTP),Arsitektur,S1,arsitektur@utp.ac.id,Sukses,arsitektur@universitastunaspembangunansurakartautp.ac.id
Universitas Langlang Buana,Arsitektur,S1,unlanet_kr@yahoo.co.id,Sukses,arsitektur@universitaslanglangbuana.ac.id
Universitas Merdeka Malang,Arsitektur,S1,arsitektur@unmer.ac.id,Gagal,arsitektur@universitasmerdekamalang.ac.id
Universitas Tribhuwana Tungga Dewi,Arsitektur Lanskap,S1,landscape@unitri.ac.id,Gagal,arsitekturlanskap@universitastribhuwanatunggadewi.ac.id
Universitas Persada Indonesia Yai,Arsitektur,S1,ars.ft@upi-yai.ac.id,Sukses,arsitektur@universitaspersadaindonesiayai.ac.id
Universitas Pelita Harapan,Arsitektur,S1,architecture@uph.edu,Gagal,arsitektur@universitaspelitaharapan.ac.id
Universitas Islam Negeri Datokarama Palu,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasislamnegeridatokaramapalu.ac.id
Institut Pertanian Bogor,Arsitektur Lanskap,S1,landscapearch@apps.ipb.ac.id,Gagal,arsitekturlanskap@institutpertanianbogor.ac.id
Universitas Matana,Arsitektur,S1,Kosong,Gagal,arsitektur@universitasmatana.ac.id
Universitas Medan Area,Arsitektur,S1,arsitektur@uma.ac.id,Gagal,arsitektur@universitasmedanarea.ac.id
Universitas Negeri Medan,Arsitektur,S1,KOSONG,Sukses,arsitektur@universitasnegerimedan.ac.id
Universitas Islam Indonesia,Arsitektur,S1,architecture@uii.ac.id,Gagal,arsitektur@universitasislamindonesia.ac.id
Universitas Ubudiyah Indonesia,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasubudiyahindonesia.ac.id
Universitas Lambung Mangkurat,Arsitektur,S2,KOSONG,Gagal,arsitektur@universitaslambungmangkurat.ac.id
Universitas Indo Global Mandiri,Arsitektur,S1,arsitektur@uigm.ac.id,Sukses,arsitektur@universitasindoglobalmandiri.ac.id
Universitas Faletehan,Arsitektur (Kampus Kota Bandung),S1,-,Email Kosong,arsitekturkampuskotabandung@universitasfaletehan.ac.id
Universitas Madako Tolitoli,Arsitektur,S1,KOSONG,Sukses,arsitektur@universitasmadakotolitoli.ac.id
Universitas Diponegoro,Teknik Infrastruktur Sipil Dan Perancangan Arsitektur,D-IV,pilar@live.undip.ac.id,Gagal,teknikinfrastruktursipildanperancanganarsitektur@universitasdiponegoro.ac.id
Universitas Gunadarma,Arsitektur (Kampus Kabupaten Penajam Paser Utara),S1,KOSONG,Gagal,arsitekturkampuskabupatenpenajampaserutara@universitasgunadarma.ac.id
Universitas Subang,Arsitektur,S1,info@unsub.ac.id,Gagal,arsitektur@universitassubang.ac.id
Universitas Hasanuddin,Ilmu Arsitektur,S3,KOSONG,Gagal,ilmuarsitektur@universitashasanuddin.ac.id
Institut Teknologi Adhi Tama Surabaya,Arsitektur,S1,arsitektur.dept@itats.ac.id,Sukses,arsitektur@institutteknologiadhitamasurabaya.ac.id
Universitas Multimedia Nusantara Jakarta,Arsitektur,S1,arsitektur.umn@umn.ac.id,Sukses,arsitektur@universitasmultimedianusantarajakarta.ac.id
Universitas Tridinanti,Arsitektur,S1,arsitektur@univ-tridinanti.ac.id,Sukses,arsitektur@universitastridinanti.ac.id
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Arsitektur,S1,-,Email Kosong,arsitektur@universitasislamnegerisulthanthahasaifuddinjambi.ac.id
Universitas Kristen Petra,Arsitektur,S1,kj-ars@petra.ac.id,Sukses,arsitektur@universitaskristenpetra.ac.id
Universitas Katolik Darma Cendika,Arsitektur,S1,info@ukdc.ac.id,Sukses,arsitektur@universitaskatolikdarmacendika.ac.id
Universitas Krisnadwipayana,Arsitektur,S1,humas@unkris.ac.id,Sukses,arsitektur@universitaskrisnadwipayana.ac.id
Universitas Lampung,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitaslampung.ac.id
Universitas Jayabaya,Arsitektur,S1,ftspjaya@yahoo.co.id,Sukses,arsitektur@universitasjayabaya.ac.id
Universitas Negeri Yogyakarta,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasnegeriyogyakarta.ac.id
Institut Desain Dan Bisnis Bali,Arsitektur,S1,-,Email Kosong,arsitektur@institutdesaindanbisnisbali.ac.id
Politeknik Dewantara,Arsitektur Bangunan Gedung,D4,-,Email Kosong,arsitekturbangunangedung@politeknikdewantara.ac.id
Universitas Klabat,Arsitektur,S1,-,Email Kosong,arsitektur@universitasklabat.ac.id
Universitas Kristen Indonesia Tomohon,Arsitektur,S1,ukit.gmim@gmail.com,Sukses,arsitektur@universitaskristenindonesiatomohon.ac.id
Politeknik Negeri Pontianak,Arsitektur,D-III,kampus@polnep.ac.id,Gagal,arsitektur@politekniknegeripontianak.ac.id
Universitas Islam Negeri Sunan Kalijaga,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasislamnegerisunankalijaga.ac.id
Universitas Muhammadiyah Kendari,Arsitektur,S1,unismuh_kdi@yahoo.com,Sukses,arsitektur@universitasmuhammadiyahkendari.ac.id
Universitas Wijayakusuma Purwokerto,Arsitektur,S1,info@unwiku.ac.id,Sukses,arsitektur@universitaswijayakusumapurwokerto.ac.id
Universitas Nahdlatul Ulama Sulawesi Tenggara,Teknik Arsitektur,S1,KOSONG,Gagal,teknikarsitektur@universitasnahdlatululamasulawesitenggara.ac.id
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S1,arsitektur@untag-sby.ac.id,Sukses,arsitektur@universitas17agustus1945surabaya.ac.id
Universitas Udayana,Arsitektur Lanskap,S1,KOSONG,Gagal,arsitekturlanskap@universitasudayana.ac.id
Universitas Winaya Mukti,Arsitektur,S1,arsitektur@unwim.ac.id,Gagal,arsitektur@universitaswinayamukti.ac.id
Universitas Ngurah Rai,Arsitektur,S1,ft@unr.ac.id,Sukses,arsitektur@universitasngurahrai.ac.id
Universitas Komputer Indonesia,Teknik Arsitektur,S1,arsitektur@email.unikom.ac.id,Gagal,teknikarsitektur@universitaskomputerindonesia.ac.id
Universitas Islam Negeri Alauddin Makassar,Teknik Arsitektur,S1,wasilah.sahabuddin@yahoo.com,Gagal,teknikarsitektur@universitasislamnegerialauddinmakassar.ac.id
Universitas Sam Ratulangi,Arsitektur,S2,KOSONG,Gagal,arsitektur@universitassamratulangi.ac.id
Universitas Tarumanagara,Arsitektur,S1,prodi.s1ars@ft.untar.ac.id,Sukses,arsitektur@universitastarumanagara.ac.id
Universitas Trisakti,Arsitektur,S2,mars@pasca.trisakti.ac.id,Gagal,arsitektur@universitastrisakti.ac.id
Universitas Muhammadiyah Semarang,Arsitektur,S1,arsitektur@unimus.ac.id,Gagal,arsitektur@universitasmuhammadiyahsemarang.ac.id
Universitas Negeri Gorontalo,Arsitektur Bangunan Gedung,D-IV,KOSONG,Gagal,arsitekturbangunangedung@universitasnegerigorontalo.ac.id
Universitas Persatuan Guru Republik Indonesia Semarang,Arsitektur,S1,upgris@upgris.ac.id,Sukses,arsitektur@universitaspersatuangururepublikindonesiasemarang.ac.id
Universitas Palangka Raya,Arsitektur,S1,dapoe_emel@yahoo.com,Sukses,arsitektur@universitaspalangkaraya.ac.id
Universitas Gunadarma,Arsitektur,S2,-,Email Kosong,arsitektur@universitasgunadarma.ac.id
Universitas Negeri Surabaya,Arsitektur Bangunan Gedung,D4,KOSONG,Gagal,arsitekturbangunangedung@universitasnegerisurabaya.ac.id
Universitas Andalas,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasandalas.ac.id
Universitas Trisakti,Arsitektur Lansekap,S1,faltl@trisakti.ac.id,Gagal,arsitekturlansekap@universitastrisakti.ac.id
Institut Pertanian Bogor,Arsitektur Lanskap,S2,arsitekturlanskaps2@apps.ipb.ac.id,Gagal,arsitekturlanskap@institutpertanianbogor.ac.id
Universitas Pendidikan Indonesia,Arsitektur,S1,ps_arsitektur@upi.edu,Gagal,arsitektur@universitaspendidikanindonesia.ac.id
Universitas Bung Hatta,Arsitektur,S2,magisterarsitekturubh@yahoo.com,Sukses,arsitektur@universitasbunghatta.ac.id
Universitas Muslim Indonesia,Arsitektur,S1,architecture@uii.ac.id,Gagal,arsitektur@universitasmuslimindonesia.ac.id
Universitas Katolik Santo Thomas,Arsitektur,S1,info@ust.ac.id,Sukses,arsitektur@universitaskatoliksantothomas.ac.id
Universitas Muhammadiyah Surabaya,Arsitektur,S1,umsurabaya@yahoo.com,Sukses,arsitektur@universitasmuhammadiyahsurabaya.ac.id
Universitas Pembangunan Panca Budi,Arsitektur,S1,admin_ft@pancabudi.org,Sukses,arsitektur@universitaspembangunanpancabudi.ac.id
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,Arsitektur,S1,-,Email Kosong,arsitektur@universitasislamnegeriprofesorkiaihajisaifuddinzuhripurwokerto.ac.id
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Arsitektur,S1,admin@starsykpn.ac.id,Sukses,arsitektur@sekolahtinggiarsitekturykpnyogyakarta.ac.id
Universitas Negeri Semarang,Teknik Arsitektur,S1,arsitektur@mail.unnes.ac.id,Gagal,teknikarsitektur@universitasnegerisemarang.ac.id
Universitas Tanri Abeng,Arsitektur,S1,-,Email Kosong,arsitektur@universitastanriabeng.ac.id
Politeknik Negeri Bengkalis,Teknologi Rekayasa Arsitektur Perkapalan,D-IV,KOSONG,Gagal,teknologirekayasaarsitekturperkapalan@politekniknegeribengkalis.ac.id
Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,Arsitektur,S1,-,Email Kosong,arsitektur@institutteknologidanbisnisahmaddahlanlamongan.ac.id
Universitas Sriwijaya,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitassriwijaya.ac.id
Universitas Tadulako,Arsitektur,S2,KOSONG,Gagal,arsitektur@universitastadulako.ac.id
Universitas Trisakti,Arsitektur,S3,-,Email Kosong,arsitektur@universitastrisakti.ac.id
Universitas Muhammadiyah Banjarmasin,Arsitektur,S1,-,Email Kosong,arsitektur@universitasmuhammadiyahbanjarmasin.ac.id
Universitas Indonesia,Arsitektur,S2,arsitektur@eng.ui.ac.id,Gagal,arsitektur@universitasindonesia.ac.id
Universitas Lambung Mangkurat,Arsitektur,S1,prodiarsitektur@ulm.ac.id,Gagal,arsitektur@universitaslambungmangkurat.ac.id
Universitas Trisakti,Arsitektur,S1,ftsp@trisakti.ac.id,Sukses,arsitektur@universitastrisakti.ac.id
Universitas Katolik Widya Mandira Kupang,Arsitektur,S1,info@unwira.ac.id,Sukses,arsitektur@universitaskatolikwidyamandirakupang.ac.id
Universitas Katolik Parahyangan,Arsitektur,S1,fteknik@home.unpar.ac.id,Gagal,arsitektur@universitaskatolikparahyangan.ac.id
Universitas Kaltara,Arsitektur,S1,arsitekturunikaltar@gmail.com,Sukses,arsitektur@universitaskaltara.ac.id
Universitas Muhammadiyah Jakarta,Arsitektur,S1,arsitektur@ftumj.ac.id; arsitektur@umj.ac.id,Gagal,arsitektur@universitasmuhammadiyahjakarta.ac.id
Universitas Atma Jaya Yogyakarta,Arsitektur,S1,Prodi.arsitektur@uajy.ac.id,Sukses,arsitektur@universitasatmajayayogyakarta.ac.id
Universitas Sumatera Utara,Teknik Arsitektur,S2,mtausu2002@yahoo.com,Gagal,teknikarsitektur@universitassumaterautara.ac.id
Politeknik Negeri Samarinda,Arsitektur Bangunan Gedung,D-IV,humas@polnes.ac.id,Gagal,arsitekturbangunangedung@politekniknegerisamarinda.ac.id
Universitas Udayana,Arsitektur,S1,arsitektur.ft@unud.ac.id,Gagal,arsitektur@universitasudayana.ac.id
Universitas Mercu Buana,Arsitektur,S1,umb@mercubuana.ac.id,Gagal,arsitektur@universitasmercubuana.ac.id
Universitas Katolik Soegijapranata,Arsitektur,S1,arsitektur@unika.ac.id,Sukses,arsitektur@universitaskatoliksoegijapranata.ac.id
Institut Teknologi Sepuluh Nopember,Ilmu Arsitektur,S3,arsitektur@its.ac.id,Gagal,ilmuarsitektur@institutteknologisepuluhnopember.ac.id
Universitas Gadjah Mada,Magister Arsitektur,S2,s2arsugm@ugm.ac.id,Gagal,magisterarsitektur@universitasgadjahmada.ac.id
Universitas Atma Jaya Yogyakarta,Arsitektur,S3,KOSONG,Email Kosong,arsitektur@universitasatmajayayogyakarta.ac.id
Universitas Budi Luhur,Arsitektur,S1,arsitektur@budiluhur.ac.id,Sukses,arsitektur@universitasbudiluhur.ac.id
Universitas Islam Negeri Ar-Raniry Banda Aceh,Arsitektur,S1,-,Email Kosong,arsitektur@universitasislamnegeriarranirybandaaceh.ac.id
Institut Teknologi Bandung,Arsitektur Lanskap,S2,KOSONG,Gagal,arsitekturlanskap@institutteknologibandung.ac.id
Universitas Indonesia,Arsitektur,S3,arsitektur@eng.ui.ac.id,Gagal,arsitektur@universitasindonesia.ac.id
Universitas Amikom Yogyakarta,Arsitektur,S1,-,Email Kosong,arsitektur@universitasamikomyogyakarta.ac.id
Universitas Indraprasta PGRI,Arsitektur,S1,kampus@unindra.ac.id,Sukses,arsitektur@universitasindraprastapgri.ac.id
Universitas Kristen Duta Wacana,Arsitektur,S1,fad@staff.ukdw.ac.id,Sukses,arsitektur@universitaskristendutawacana.ac.id
Universitas Pancasila,Arsitektur,S1,ars.ftup@univpancasila.ac.id,Sukses,arsitektur@universitaspancasila.ac.id
Institut Teknologi Nasional Malang,Arsitektur,S1,arsitektur-s1@itn.ac.id,Sukses,arsitektur@institutteknologinasionalmalang.ac.id
Universitas Sebelas Maret,Arsitektur,S2,s2arsitektur@ft.uns.ac.id,Gagal,arsitektur@universitassebelasmaret.ac.id
Universitas Pelita Bangsa,Arsitektur,S1,arsitektur@pelitabangsa.ac.id,Sukses,arsitektur@universitaspelitabangsa.ac.id
Universitas Almuslim,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasalmuslim.ac.id
Universitas Widya Kartika,Arsitektur,S1,info@widyakartika.ac.id,Sukses,arsitektur@universitaswidyakartika.ac.id
Universitas Bengkulu,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasbengkulu.ac.id
Universitas Pradita,Arsitektur,S1,info@pradita.ac.id,Sukses,arsitektur@universitaspradita.ac.id
Universitas Syiah Kuala,Arsitektur,S1,arsitektur@unsyiah.ac.id,Gagal,arsitektur@universitassyiahkuala.ac.id
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S2,marsitektur@untag-sby.ac.id,Sukses,arsitektur@universitas17agustus1945surabaya.ac.id
Institut Teknologi Sumatera,Arsitektur,S1,ar@itera.ac.id,Sukses,arsitektur@institutteknologisumatera.ac.id
Universitas Negeri Malang,Arsitektur,S1,KOSONG,Gagal,arsitektur@universitasnegerimalang.ac.id
Universitas Gorontalo,Arsitektur,S1,universitas_gorontalo@yahoo.co.id,Sukses,arsitektur@universitasgorontalo.ac.id
Universitas Bangka Belitung,Arsitektur,S1,-,Email Kosong,arsitektur@universitasbangkabelitung.ac.id
Universitas Mercu Buana,Arsitektur,S2,umb@mercubuana.ac.id,Gagal,arsitektur@universitasmercubuana.ac.id
Institut Teknologi Indonesia,Arsitektur,S1,-,Email Kosong,arsitektur@institutteknologiindonesia.ac.id
Universitas Mahakarya Asia,Arsitektur,S1,akademik@unmaha.ac.id,Sukses,arsitektur@universitasmahakaryaasia.ac.id
Universitas Bung Hatta,Arsitektur,S1,humas@bunghatta.ac.id,Sukses,arsitektur@universitasbunghatta.ac.id
Universitas Gadjah Mada,Doktor Arsitektur,S3,amiyesa@ugm.ac.id hartonograd@ugm.ac.id,Gagal,doktorarsitektur@universitasgadjahmada.ac.id
Universitas Tarumanagara,Arsitektur,S2,prodi.s2ars@ft.untar.ac.id,Sukses,arsitektur@universitastarumanagara.ac.id
Universitas Islam Indonesia,Arsitektur,S2,architecture@uii.ac.id,Gagal,arsitektur@universitasislamindonesia.ac.id
Universitas Katolik Musi Charitas,Arsitektur,S1,rektorat@ukmc.ac.id,Sukses,arsitektur@universitaskatolikmusicharitas.ac.id
Universitas Muhammadiyah Palembang,Arsitektur,S1,tek_arsitektur@plasa.com,,
Universitas Islam Zainul Hasan Genggong Probolinggo,Ilmu Seni Dan Arsitektur Islam,S1,-,,
Universitas Halu Oleo,Teknik Arsitektur,D-III,d3arsitektur@uho.ac.id,,
Universitas Sains Alqur An,Arsitektur,S1,arsitektur@unsiq.ac.id,,
Universitas Merdeka Malang,Arsitektur,S2,magister.arsitektur@unmer.ac.id,,
Universitas Aisyiyah Yogyakarta,Arsitektur,S1,info@unisayogya.ac.id,,
Universitas Khairun,Arsitektur,S1,,,
Universitas 17 Agustus 1945 Samarinda,Arsitektur,S1,arsitektur@untag-smd.ac.id,,
Universitas Satyagama,Arsitektur,S1,info@satyagama.ac.id,,
Universitas Surakarta,Arsitektur,S1,arsitektur.unsa@gmail.com,,
Sekolah Tinggi Teknik Multimedia Internasional Malang,Arsitektur,S1,-,,
