No,Nama Perguruan Tinggi,Email Resmi / Humas
61,Institut Sains Dan Teknologi Nasional,info@istn.ac.id
62,Universitas Kristen Duta Wacana,humas@ukdw.ac.id
63,Universitas Yapis Papua,info@uniyap.ac.id
64,Politeknik Negeri Sriwijaya,info@polsri.ac.id
65,Institut Teknologi Bandung,humas@itb.ac.id
66,Institut Teknologi Bacharuddin Jusuf Habibie,info@itbh.ac.id
67,Universitas Al Washliyah Darussalam Banda Aceh,info@unwas.ac.id
68,Universitas Madani,info@universitasmadani.ac.id
69,Universitas Sebelas Maret,humas@mail.uns.ac.id
70,Universitas Borobudur,info@borobudur.ac.id
71,Universitas Udayana,info@unud.ac.id
72,Universitas Warmadewa,info@warmadewa.ac.id
73,Universitas Muhammadiyah Bengkulu,humas@umb.ac.id
74,Universitas Negeri Manado,humas@unima.ac.id
75,Universitas Tunas Pembangunan Surakarta (UTP),info@utp.ac.id
76,Universitas Langlang Buana,info@unla.ac.id
77,Universitas Merdeka Malang,humas@unmer.ac.id
78,Universitas Tribhuwana Tungga Dewi,info@unitri.ac.id
79,Universitas Persada Indonesia Yai,humas@yai.ac.id
80,Universitas Pelita Harapan,info@uph.edu
81,Universitas Islam Negeri Sunan Ampel,humas@uinsby.ac.id
82,Universitas Islam Negeri Datokarama Palu,info@uindatokarama.ac.id
83,Institut Pertanian Bogor,humas@apps.ipb.ac.id
84,Universitas Matana,info@matanauniversity.ac.id
85,Universitas Medan Area,univ_medanarea@uma.ac.id
86,Universitas Negeri Medan,humas@unimed.ac.id
87,Universitas Islam Indonesia,info@uii.ac.id
88,Universitas Ubudiyah Indonesia,info@uui.ac.id
89,Universitas Lambung Mangkurat,humas@ulm.ac.id
90,Universitas Indo Global Mandiri,info@uigm.ac.id
91,Universitas Faletehan,info@uf.ac.id
92,Universitas Madako Tolitoli,info@umada.ac.id
93,Universitas Subang,info@unsub.ac.id
94,Institut Teknologi Adhi Tama Surabaya,humas@itats.ac.id
95,Universitas Multimedia Nusantara Jakarta,info@umn.ac.id
96,Universitas Tridinanti,info@univ-tridinanti.ac.id
97,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,info@uinjambi.ac.id
98,Universitas Kristen Petra,info@petra.ac.id
99,Universitas Katolik Darma Cendika,info@ukdc.ac.id
100,Universitas Krisnadwipayana,admin@unkris.ac.id
101,Universitas Lampung,humas@kpa.unila.ac.id
102,Universitas Jayabaya,info@jayabaya.ac.id
103,Universitas Negeri Yogyakarta,humas@uny.ac.id
104,Institut Desain Dan Bisnis Bali,info@idbbali.ac.id
105,Politeknik Dewantara,info@politeknikdewantara.ac.id
106,Universitas Klabat,info@unklab.ac.id
107,Universitas Kristen Indonesia Tomohon,info@ukit.ac.id
108,Universitas Islam Negeri Sunan Kalijaga,humas@uin-suka.ac.id
109,Universitas Muhammadiyah Kendari,humas@umkendari.ac.id
110,Universitas Wijayakusuma Purwokerto,info@unwiku.ac.id
111,Universitas Nahdlatul Ulama Sulawesi Tenggara,info@unusultra.ac.id
112,Universitas 17 Agustus 1945 Surabaya,humas@untag-sby.ac.id
113,Universitas Winaya Mukti,humas@unwim.ac.id
114,Universitas Ngurah Rai,info@unr.ac.id
115,Universitas Komputer Indonesia,humas@unikom.ac.id
116,Universitas Islam Negeri Alauddin Makassar,kontak@uin-alauddin.ac.id
117,Universitas Tarumanagara,humas@untar.ac.id
118,Universitas Trisakti,humas@trisakti.ac.id
119,Universitas Muhammadiyah Semarang,info@unimus.ac.id
120,Universitas Persatuan Guru Republik Indonesia Semarang,info@upgris.ac.id
121,Universitas Palangka Raya,info@upr.ac.id
122,Universitas Negeri Surabaya,info@unesa.ac.id
123,Universitas Andalas,humas@unand.ac.id
124,Universitas Bung Hatta,info@bunghatta.ac.id
125,Universitas Muslim Indonesia,umi@umi.ac.id
126,Universitas Katolik Santo Thomas,info@ust.ac.id
127,Universitas Muhammadiyah Surabaya,humas@um-surabaya.ac.id
128,Universitas Pembangunan Panca Budi,humas@pancabudi.ac.id
129,Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,okpp@uinsaizu.ac.id
130,Universitas Negeri Semarang,humas@mail.unnes.ac.id
131,Universitas Tanri Abeng,info@tau.ac.id
132,Politeknik Negeri Bengkalis,polbeng@polbeng.ac.id
133,Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,info@itbad.ac.id
134,Universitas Sriwijaya,humas@unsri.ac.id
135,Universitas Tadulako,humas@untad.ac.id
136,Universitas Muhammadiyah Banjarmasin,info@umbjm.ac.id
137,Universitas Katolik Widya Mandira Kupang,info@unwira.ac.id
138,Universitas Kaltara,info@unikaltar.ac.id
139,Universitas Muhammadiyah Jakarta,humas@umj.ac.id
140,Politeknik Negeri Samarinda,humas@polnes.ac.id
141,Universitas Mercu Buana,humas@mercubuana.ac.id
142,Universitas Gadjah Mada,info@ugm.ac.id
143,Universitas Budi Luhur,humas@budiluhur.ac.id
144,Universitas Islam Negeri Ar-Raniry Banda Aceh,info@ar-raniry.ac.id
145,Universitas Amikom Yogyakarta,humas@amikom.ac.id
146,Universitas Indraprasta PGRI,info@unindra.ac.id
147,Universitas Pancasila,humas@univpancasila.ac.id
148,Institut Teknologi Nasional Malang,humas@itn.ac.id
149,Universitas Pelita Bangsa,info@pelitabangsa.ac.id
150,Universitas Almuslim,info@almuslim.ac.id
151,Universitas Widya Kartika,info@widyakartika.ac.id
152,Universitas Bengkulu,humas@unib.ac.id
153,Universitas Pradita,info@pradita.ac.id
154,Universitas Negeri Malang,humas@um.ac.id
155,Universitas Gorontalo,info@unigo.ac.id
156,Universitas Bangka Belitung,info@ubb.ac.id
157,Institut Teknologi Indonesia,info@iti.ac.id
158,Universitas Mahakarya Asia,info@unmaha.ac.id
159,Universitas Katolik Musi Charitas,info@ukmc.ac.id
160,Universitas Muhammadiyah Palembang,info@um-palembang.ac.id
161,Universitas Islam Zainul Hasan Genggong Probolinggo,sekretariat@unzah.ac.id
162,Universitas Halu Oleo,humas@uho.ac.id
163,Universitas Sains Alqur An,info@unsiq.ac.id
164,Universitas Aisyiyah Yogyakarta,info@unisa.ac.id
165,Universitas Khairun,admin@unkhair.ac.id
166,Universitas 17 Agustus 1945 Samarinda,info@untagsmd.ac.id
167,Universitas Satyagama,info@satyagama.ac.id
168,Universitas Surakarta,info@unsa.ac.id
169,Sekolah Tinggi Teknik Multimedia Internasional Malang,info@sttm-malang.ac.id
170,Universitas Bosowa,info@universitasbosowa.ac.id
171,Universitas Mataram,rektorat@unram.ac.id
172,Universitas Bung Karno,info@ubk.ac.id
173,Institut Teknologi Nasional Bandung,humas@itenas.ac.id
174,Universitas Muhammadiyah Makassar,info@unismuh.ac.id
175,Universitas Pembangunan Nasional Veteran Jawa Timur,humas@upnjatim.ac.id
176,Universitas PGRI Yogyakarta,info@upy.ac.id
177,Universitas Pohuwato,info@unipo.ac.id
178,Universitas Sains Dan Teknologi Jayapura,info@ustj.ac.id
179,Sekolah Tinggi Teknologi Cirebon,info@sttcirebon.ac.id
180,Institut Teknologi Budi Utomo,info@itbu.ac.id
181,Universitas Bumi Hijrah Tidore,info@unibuh.ac.id
182,Universitas Adiwangsa Jambi,info@unaja.ac.id
183,Universitas Kebangsaan Republik Indonesia,info@ukri.ac.id
184,Institut Teknologi Dan Bisnis Ahmad Dahlan,info@itbad.ac.id
185,Universitas Pembangunan Jaya,info@upj.ac.id
186,Universitas Riau,humas@unri.ac.id
187,Universitas Pendidikan Mandalika,info@undikma.ac.id
188,Universitas Dwijendra,info@undwi.ac.id
189,Universitas Ciputra Surabaya,info@ciputra.ac.id
190,Universitas Tanjungpura,humas@untan.ac.id
191,Universitas Mulawarman,humas@unmul.ac.id
192,Sekolah Tinggi Teknik Malang,info@stt.ac.id
193,Universitas Musamus Merauke,info@unmus.ac.id
194,Universitas Citra Bangsa,info@ucb.ac.id
195,Universitas Bandar Lampung,humas@ubl.ac.id
196,Universitas Riau Kepulauan,info@unrika.ac.id
197,Universitas Balikpapan,info@uniba-bpn.ac.id
198,Universitas Tompotika Luwuk Banggai,info@untika.ac.id
199,Universitas Flores,info@uniflor.ac.id
200,Universitas Ichsan Sidenreng Rappang,info@unisan.ac.id
201,Universitas Islam Negeri Maulana Malik Ibrahim Malang,info@uin-malang.ac.id
202,Universitas Cendekia Mitra Indonesia,info@unicimi.ac.id
203,Universitas Pertiwi,marketing@pertiwi.ac.id
204,Politeknik Negeri Malang,humas@polinema.ac.id
205,Universitas Internasional Jakarta,official@jiu.ac
206,Institut Seni Indonesia Yogyakarta,arts@isi.ac.id
207,Universitas Sains Indonesia,info@usi.ac.id
208,Universitas Muhammadiyah Tegal,info@umtegal.ac.id
209,Institut Seni Indonesia Denpasar,humas@isi-dps.ac.id
210,Universitas Telkom,info@telkomuniversity.ac.id
211,Universitas Informatika Dan Bisnis Indonesia,sekretariat@unibi.ac.id
212,Universitas Surabaya,humas@unit.ubaya.ac.id
213,Politeknik Kreatif Indonesia,info@polkreatif.ac.id
214,Universitas Negeri Padang,humas@unp.ac.id
215,Universitas Widyatama,humas@widyatama.ac.id
216,Universitas Wiraraja,humas@wiraraja.ac.id
217,Universitas PGRI Silampari,info@unpari.ac.id
218,Akademi Kesejahteraan Sosial AKK,info@aks-akk.co.id
219,Universitas Dinamika,humas@dinamika.ac.id
220,Politeknik TEDC,info@poltektedc.ac.id
221,Institut Bisnis Dan Teknologi Indonesia,humas@instiki.ac.id
222,Universitas Bhinneka Nusantara,ubhinus@ubhinus.ac.id
223,Universitas Sahid Surakarta,rektorat@usahidsolo.ac.id
224,Politeknik Seni Yogyakarta,poliseni_yogya@yahoo.co.id
225,Universitas Negeri Jakarta,humas@unj.ac.id
226,Universitas Teknologi Digital,info@utdi.ac.id
227,Universitas Trilogi,info@trilogi.ac.id
228,Institut Seni Budaya Indonesia Aceh,info@isbiaceh.ac.id
229,Politeknik Tempo,pmb@politekniktempo.ac.id
230,Institut Informatika Indonesia Surabaya,kontak@ikado.ac.id
231,Institut Teknologi Sains Bandung,registrasi@itsb.ac.id
232,Institut Seni Budaya Indonesia Bandung,info@isbi.ac.id
233,Institut Komunikasi Dan Bisnis LSPR,info@lspr.edu
234,Universitas Mulia,info@universitasmulia.ac.id
235,Universitas Fort De Kock,informasi@fdk.ac.id
236,Institut Informatika Dan Bisnis Darmajaya,info@darmajaya.ac.id
237,Universitas Bina Insani,info@binainsani.ac.id
238,Universitas Tiga Serangkai,sekretariat@tsu.ac.id
239,Universitas Ibn Khaldun Bogor,humas@uika-bogor.ac.id
240,Sekolah Tinggi Teknologi Muhammadiyah AR Fachruddin,sttmarfachruddin@gmail.com
241,Institut Teknologi Dan Bisnis Tuban,info@itbtuban.ac.id
242,Universitas Dian Nuswantoro,sekretariat@dinus.ac.id
243,Universitas Sampoerna,info@sampoernauniversity.ac.id
244,Universitas Esa Unggul,info@esaunggul.ac.id
245,Universitas Multi Data Palembang,kuliah@mdp.ac.id
246,Universitas Adzkia,info@adzkia.ac.id
247,Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,info@uinsyahada.ac.id
248,Universitas Satu,info@universitassatu.ac.id
249,Politeknik Bali Maha Werdhi,info@politeknikbmw.ac.id
250,Universitas Al Hikmah Jepara,uajepara@uajpr.ac.id
251,Universitas Awal Bros,info@uab.ac.id
252,Universitas Primakara,info@primakara.ac.id
253,Politeknik Negeri Jakarta,humas@pnj.ac.id
254,Institut Teknologi Dan Bisnis Kristen Bukit Pengharapan,info@itbkbp.ac.id
255,Akademi Kesejahteraan Sosial Ibu Kartini,info@aksibukartini.ac.id
256,Institut Teknologi Dan Bisnis Palcomtech,info@palcomtech.ac.id
257,Institut Teknologi Telkom Purwokerto,info@ittelkom-pwt.ac.id
258,Institut Sains Dan Teknologi Terpadu Surabaya,info@istts.ac.id
259,Institut Teknologi Dan Bisnis Kalbis,info@kalbis.ac.id
260,Universitas Maarif Hasyim Latif,info@umaha.ac.id
261,Universitas Syekh Yusuf Al Makassari Gowa,info@usyam.ac.id
262,Universitas Metamedia,info@metamedia.ac.id
263,Universitas Ngudi Waluyo,info@unw.ac.id
264,Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,info@uhnsugriwa.ac.id
265,Universitas Pendidikan Ganesha,humas@undiksha.ac.id
266,Universitas Swadaya Gunung Djati,humas@ugj.ac.id
267,Sekolah Tinggi Desain Indonesia Bandung,info@stdi.ac.id
268,Institut Kesenian Jakarta,info@ikj.ac.id
269,Universitas Wanita Internasional,info@iwu.ac.id
270,Universitas Bumigora,info@universitasbumigora.ac.id
271,Universitas Indonesia Mandiri,info@uimandiri.ac.id
272,Universitas LIA,info@universitaslia.ac.id
273,Universitas Putra Indonesia Yptk Padang,info@upiyptk.ac.id
274,Universitas Teknologi Bandung,info@utb.ac.id
275,Universitas Catur Insan Cendekia,info@ucic.ac.id
276,Universitas Pasundan,info@unpas.ac.id
277,Institut Teknologi Dan Bisnis Asia Malang,info@asia.ac.id
278,STMIK Amik Bandung,info@stmik-amikbandung.ac.id
279,Institut Seni Indonesia Padang Panjang,info@isi-padangpanjang.ac.id
280,Universitas Nahdlatul Ulama Pasuruan,info@unupasuruan.ac.id
281,Institut Filsafat Dan Teknologi Kreatif Ledalero,info@iftkledalero.ac.id
282,Sekolah Tinggi Desain LaSalle,info@lasallecollege.ac.id
283,Universitas Potensi Utama,info@potensi-utama.ac.id
284,Universitas Ma Chung,info@machung.ac.id
285,Universitas Sains Dan Teknologi Komputer,info@stekom.ac.id
286,Universitas Internasional Semen Indonesia,info@uisi.ac.id
287,Universitas Bunda Mulia,info@ubm.ac.id
288,Universitas Kalbis,info@kalbis.ac.id
289,Universitas PGRI Jombang,info@upnjombang.ac.id
290,Universitas Hayam Wuruk Perbanas,info@perbanas.ac.id
291,Universitas Muhammadiyah Purwokerto,humas@ump.ac.id
292,Universitas Nusa Putra,info@nusaputra.ac.id
293,Universitas Nahdlatul Ulama Sidoarjo,info@unusida.ac.id
294,Universitas Prasetiya Mulya,info@prasetiyamulya.ac.id
295,Universitas Aufa Royhan,info@unar.ac.id
296,Politeknik Bina Madani,info@poltekbinamadani.ac.id
297,Akademi Seni Rupa Dan Desain MSD,msd@msd-yogyakarta.ac.id
298,Universitas Paramadina,info@paramadina.ac.id
299,Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,info@visi.ac.id
300,Institut Sains Dan Teknologi Al-Kamal,info@ista.ac.id
301,Institut Seni Budaya Indonesia Tanah Papua,info@isbi-tanahpapua.ac.id
302,Universitas Islam Nahdlatul Ulama Jepara,info@unisnu.ac.id
303,Institut Teknologi Dan Bisnis Stikom Ambon,info@stikom-ambon.ac.id
304,Universitas Muhammadiyah Tangerang,info@umt.ac.id
305,Politeknik Harapan Bersama,info@poltektegal.ac.id
306,Politeknik Negeri Media Kreatif,info@polimedia.ac.id
307,Politeknik Perkapalan Negeri Surabaya,info@ppns.ac.id
308,Sekolah Tinggi Desain Interstudi,info@interstudi.ac.id
309,Sekolah Tinggi Media Komunikasi Trisakti,info@stmktrisakti.ac.id
310,Akademi Seni Dan Desain Indonesia Surakarta,info@asdi.ac.id
311,Institut Sains Dan Teknologi TD Pardede,humas@istp.ac.id
312,Universitas 'Aisyiyah Bandung,info@unisa-bandung.ac.id
313,Universitas Kristen Satya Wacana,humas@uksw.edu
314,Politeknik Sains Seni Rekakreasi,info@polssre.ac.id
315,Institut Teknologi Harapan Bangsa,info@ithb.ac.id
316,Institut Teknologi Dan Sains Nahdlatul Ulama Pasuruan,info@itsnupasuruan.ac.id
317,Institut Manajemen Wiyata Indonesia,info@imwi.ac.id
318,Politeknik Industri Furnitur Dan Pengolahan Kayu,info@polifurneka.ac.id
319,Institut Teknologi Batam,info@iteba.ac.id
320,Akademi Teknik PIKA,info@atpika.ac.id
321,Universitas Adhirajasa Reswara Sanjaya,info@ars.ac.id
322,Universitas Kuningan,info@uniku.ac.id
323,Universitas Teknologi Indonesia,info@uti.ac.id
324,Politeknik Muhammadiyah Tegal,info@polmuhtegal.ac.id
325,STIKI Malang,info@stiki.ac.id
326,Akademi Seni Rupa Dan Desain ISWI Jakarta,info@iswi.ac.id
327,STKIP Pangeran Antasari,info@stkippangeranantasari.ac.id
328,Universitas Multimedia Nusantara,info@umn.ac.id
329,Sekolah Tinggi Teknologi Bandung,info@sttbandung.ac.id
330,Politeknik Internasional Bali,info@pib.ac.id
331,Institut Sains Dan Teknologi Muhammadiyah Tarakan,info@istm-tarakan.ac.id
332,Universitas Nahdlatul Ulama Maluku Utara,info@unumu.ac.id
333,Universitas Muhammadiyah Jambi,info@umjambi.ac.id
334,Universitas Muhammadiyah Palopo,info@umpalopo.ac.id
335,Universitas Sintuwu Maroso Poso,info@unsimar.ac.id
336,Institut Teknologi Nasional Yogyakarta,info@itny.ac.id
337,Universitas Jember,humas@unej.ac.id
338,Universitas Muhammadiyah Pare-pare,info@umpar.ac.id
339,Universitas Simalungun,info@usi.ac.id
340,Universitas Muhammadiyah Barru,info@umbarru.ac.id
341,Universitas Islam Sultan Agung,humas@unissula.ac.id
342,Universitas Muhammadiyah Sorong,info@unimuda.ac.id
343,Universitas Muhammadiyah Mataram,info@ummat.ac.id
344,Universitas Jenderal Soedirman,info@unsoed.ac.id
345,Politeknik Pariwisata Medan,info@poltekparmedan.ac.id
346,Politeknik Negeri Bali,humas@pnb.ac.id
347,Universitas PGRI Adi Buana,info@unipasby.ac.id
348,Universitas Maritim Raja Ali Haji (UMRAH),humas@umrah.ac.id
349,Universitas Mahasaraswati Denpasar,info@unmas.ac.id
350,Universitas Hindu Indonesia,info@unhi.ac.id
351,Institut Pariwisata Dan Bisnis Internasional,info@ipbi.ac.id
352,Universitas Sulawesi Barat,info@unsulbar.ac.id
353,Politeknik Pariwisata NHI Bandung,info@poltekpar-nhi.ac.id
354,Universitas Muhammadiyah Sinjai,info@umsinjai.ac.id
355,Universitas Pakuan,info@unpak.ac.id
356,Universitas Islam Bandung,humas@unisba.ac.id
357,Universitas Islam Riau,info@uir.ac.id
358,Institut Teknologi Dan Bisnis Karya Pembangunan Papua,info@itbkppapua.ac.id
359,Politeknik Pariwisata Batam,info@btp.ac.id
360,Politeknik Negeri Padang,humas@pnp.ac.id
361,Universitas Muhammadiyah Berau,info@umberau.ac.id
362,Universitas Islam Kuantan Singingi,info@uniks.ac.id
363,Universitas Terbuka,hallo-ut@ut.ac.id
364,Universitas Muhammadiyah Bulukumba,info@umbulukumba.ac.id
365,Universitas Sali Al-Aitaam,info@unisal.ac.id
366,Universitas Batam,info@univbatam.ac.id
367,Universitas Cenderawasih,humas@uncen.ac.id
368,Universitas Pattimura,info@unpatti.ac.id
369,Universitas Amal Ilmiah Yapis Wamena,unaim.wamena@gmail.com
370,Universitas Semarang,info@usm.ac.id
371,Universitas Lakidende Unahaa,info@unilaki.ac.id
372,Universitas Karimun,info@universitaskarimun.ac.id
373,Universitas Teknologi Sulawesi Utara,info@utsu.ac.id
374,Universitas Karyadarma Kupang,rektorat@undarma-kupang.ac.id
375,Institut Teknologi Yogyakarta,info@ity.ac.id
376,Universitas Al-Muslim,info@almuslim.ac.id
377,Universitas Bojonegoro,info@unigoro.ac.id
378,Universitas Caritas Indonesia,univcaritasindonesia@gmail.com
379,Universitas Dumoga Kotamobagu,admin-udk@udk.ac.id
380,Universitas Ibn Khaldun,humas@uika-bogor.ac.id
381,Universitas Islam Negeri Antasari Banjarmasin,humas@uin-antasari.ac.id
382,Universitas Islam Negeri Raden Mas Said Surakarta,info@uinsaid.ac.id
383,Universitas Ivet,info@ivet.ac.id
384,Universitas Jambi,humas@unja.ac.id
385,Universitas Muhammadiyah Madiun,ummad@ummad.ac.id
386,Universitas Muhammadiyah Papua,mail@umpapua.ac.id
387,Universitas Musi Rawas,info@unmura.ac.id
388,Universitas Padjadjaran,humas@unpad.ac.id
389,Universitas Papua,humas@unipa.ac.id
390,Universitas Persatuan Islam,info@unipi.ac.id
391,Universitas Serasan,mail@unsan.ac.id
392,Universitas Wira Bhakti,info@wirabhakti.ac.id
393,Institut Teknologi Dan Bisnis Maritim Balik Diwa,info@balikdiwa.ac.id
394,Politeknik Ahli Usaha Perikanan,humas@politeknikaup.ac.id
395,Politeknik Negeri Ambon,info@polnam.ac.id
396,Politeknik Negeri Lampung,humas@polinela.ac.id
397,Sekolah Tinggi Teknologi Kelautan Balik Diwa,info@stt-kelautan.ac.id
398,Universitas Halmahera,info@uniera.ac.id
399,Universitas HKBP Nommensen Pematangsiantar,info@uhnpematangsiantar.ac.id
400,Universitas Panca Bhakti,info@upb.ac.id
401,Universitas Serambi Mekkah,info@serambimekkah.ac.id
402,Universitas Trunojoyo,humas@trunojoyo.ac.id
403,Universitas Al-azhar Indonesia,info@uai.ac.id
404,Universitas Muhammadiyah Bangka Belitung,info@unmuhbabel.ac.id
405,Universitas Teknologi Sumbawa,info@uts.ac.id
406,Politeknik Pertanian Negeri Samarinda,info@politanisamarinda.ac.id
