Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Hasanuddin,Arsitektur,S2,PTN,5810/SK/BAN-PT/Ak.Ppj/M/VIII/2022,2022,UNHAS,s2arsitektur@UNHAS.ac.id
Institut Teknologi Kalimantan,Arsitektur,S1,PTN,5909/SK/BAN-PT/Ak/S/IX/2022,2022,ITK,s1arsitektur@ITK.ac.id
Sekolah Tinggi Ilmu Teknik Trisula,Arsitektur,S1,2,5912/SK/BAN-PT/Ak/S/IX/2022,2022,STIT Trisula,s1arsitektur@STITTrisula.ac.id
Universitas Nahdlatul Ulama Kalimantan Selatan,Teknik Arsitektur,S1,11,5983/SK/BAN-PT/Ak/S/IX/2022,2022,UNUKASE,s1teknikarsitektur@UNUKASE.ac.id
Universitas Pandanaran,Arsitektur,S1,6,6895/SK/BAN-PT/Ak.KP/S/X/2022,2022,UNPAND,s1arsitektur@UNPAND.ac.id
Universitas Bina Taruna Gorontalo,Arsitektur,S1,16,7309/SK/BAN-PT/Ak.KP/S/X/2022,2022,UNBITA,s1arsitektur@UNBITA.ac.id
Universitas Nahdlatul Ulama Gorontalo,Arsitektur,S1,16,7982/SK/BAN-PT/Ak/S/X/2022,2022,UNUGO,s1arsitektur@UNUGO.ac.id
Universitas Ichsan Gorontalo,Teknik Arsitektur,S1,16,8455/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,UNISAN,s1teknikarsitektur@UNISAN.ac.id
Universitas Negeri Makassar,Arsitektur,S1,PTN,9677/SK/BAN-PT/Ak/S/XI/2022,2022,UNM,s1arsitektur@UNM.ac.id
Universitas Nahdlatul Ulama Kalimantan Timur,Arsitektur,S1,11,9678/SK/BAN-PT/Ak/S/XI/2022,2022,UNUKALTARA,s1arsitektur@UNUKALTARA.ac.id
Universitas Negeri Gorontalo,Teknik Arsitektur,S1,PTN,10067/SK/BAN-PT/Ak/S/XI/2022,2022,UNG,s1teknikarsitektur@UNG.ac.id
Universitas Atma Jaya Yogyakarta,Arsitektur,S2,5,135/SK/BAN-PT/Ak-PPJ/M/I/2021,2021,UAJY,s2arsitektur@UAJY.ac.id
Universitas Internasional Batam,Arsitektur,S1,17,877/SK/BAN-PT/Akred/S/II/2021,2021,UIB,s1arsitektur@UIB.ac.id
Universitas Sumatera Utara,Ilmu Arsitektur Dan Perkotaan,S3,PTN,1008/SK/BAN-PT/Akred/D/II/2021,2021,USU,s3ilmuarsitekturdanperkotaan@USU.ac.id
Universitas Islam Negeri Walisongo Semarang,Ilmu Seni Dan Arsitektur Islam,S1,PTAN,1722/SK/BAN-PT/Akred/S/III/2021,2021,UIN Walisongo,s1ilmusenidanarsitekturislam@UINWalisongo.ac.id
Universitas Kristen Indonesia,Arsitektur,S1,3,1961/SK/BAN-PT/AK-ISK/S/IV/2021,2021,UKI,s1arsitektur@UKI.ac.id
Universitas Bina Nusantara,Arsitektur,S1,3,2300/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,BINUS,s1arsitektur@BINUS.ac.id
Universitas Widya Mataram,Arsitektur,S1,5,2544/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,UWMY,s1arsitektur@UWMY.ac.id
Universitas Katolik Parahyangan,Arsitektur,S2,4,2516/SK/BAN-PT/Ak-PPJ/M/IV/2021,2021,UNPAR,s2arsitektur@UNPAR.ac.id
Universitas Kristen Maranatha,Arsitektur,S1,4,2682/SK/BAN-PT/Akred/S/V/2021,2021,UKM,s1arsitektur@UKM.ac.id
Universitas Selamat Sri,Arsitektur,S1,6,2740/SK/BAN-PT/Ak-TMSP/S/V/2021,2021,UNISS,s1arsitektur@UNISS.ac.id
Politeknik Negeri Pontianak,Arsitektur Bangunan Gedung,D4,PTN,3038/SK/BAN-PT/Akred/ST/V/2021,2021,POLNEP,d4arsitekturbangunangedung@POLNEP.ac.id
Institut Teknologi Sumatera,Arsitektur Lanskap,S1,PTN,3029/SK/BAN-PT/Akred/S/V/2021,2021,ITERA,s1arsitekturlanskap@ITERA.ac.id
Universitas Katolik Soegijapranata,Arsitektur,S2,6,2980/SK/BAN-PT/AK-ISK/M/V/2021,2021,UNIKA Soegijapranata,s2arsitektur@UNIKASoegijapranata.ac.id
Institut Teknologi Minaesa,Arsitektur,S1,16,8714/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,ITM,s1arsitektur@ITM.ac.id
Universitas 17 Agustus 1945 Semarang,Arsitektur,S1,6,8712/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,UNTAG Semarang,s1arsitektur@UNTAGSemarang.ac.id
Universitas Pendidikan Indonesia,Pendidikan Teknik Arsitektur,S1,PTN,9144/SK/BAN-PT/Akred-Itnl/S/VI/2021,2021,UPI,s1pendidikanteknikarsitektur@UPI.ac.id
Universitas Syiah Kuala,Arsitektur,S2,PTN,9424/SK/BAN-PT/Akred/M/VII/2021,2021,USK,s2arsitektur@USK.ac.id
Universitas Ibrahimy,Arsitektur,S1,7,9671/SK/BAN-PT/Akred/S/VII/2021,2021,UNIB,s1arsitektur@UNIB.ac.id
Institut Teknologi Garut,Arsitektur,S1,4,10720/SK/BAN-PT/PB-PS/S/IX/2021,2021,ITG,s1arsitektur@ITG.ac.id
Universitas Hasanuddin,Arsitektur,S1,PTN,10813/SK/BAN-PT/AK-ISK/S/IX/2021,2021,UNHAS,s1arsitektur@UNHAS.ac.id
Universitas Tomakaka,Arsitektur,S1,9,11083/SK/BAN-PT/Akred/S/IX/2021,2021,UNIV. TOMAKAKA,s1arsitektur@UNIV.TOMAKAKA.ac.id
Universitas Agung Podomoro,Arsitektur,S1,3,11782/SK/BAN-PT/Akred/S/X/2021,2021,UAP,s1arsitektur@UAP.ac.id
Universitas Indonesia,Arsitektur,S1,PTN,11713/SK/BAN-PT/AK-ISK/S/X/2021,2021,UI,s1arsitektur@UI.ac.id
Institut Teknologi Calvin,Arsitektur,S1,3,11875/SK/BAN-PT/Akred/S/X/2021,2021,ITC,s1arsitektur@ITC.ac.id
Universitas Nusantara Manado,Arsitektur,S1,16,12071/SK/BAN-PT/Akred/S/XI/2021,2021,UNSAT,s1arsitektur@UNSAT.ac.id
Universitas Quality Berastagi,Arsitektur,S1,1,12565/SK/BAN-PT/Akred/S/XI/2021,2021,UQB,s1arsitektur@UQB.ac.id
Universitas Bhinneka PGRI,Arsitektur,S1,7,12747/SK/BAN-PT/Akred/S/XII/2021,2021,UBHARA,s1arsitektur@UBHARA.ac.id
Institut Teknologi Sepuluh Nopember,Arsitektur,S1,PTN,12847/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,ITS,s1arsitektur@ITS.ac.id
Universitas Gunadarma,Arsitektur,S1,3,13442/SK/BAN-PT/AK-ISK/S/XII/2021,2021,UG,s1arsitektur@UG.ac.id
Universitas Muhammadiyah Surakarta,Arsitektur,S1,6,13456/SK/BAN-PT/AK-ISK/S/XII/2021,2021,UMS,s1arsitektur@UMS.ac.id
Universitas Ekasakti,Arsitektur,S1,10,13831/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,UNES,s1arsitektur@UNES.ac.id
Universitas Lancang Kuning,Arsitektur,S1,17,13847/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,UNILAK,s1arsitektur@UNILAK.ac.id
Universitas Sam Ratulangi,Arsitektur,S1,PTN,11709/SK/BAN-PT/Akred-PMT/S/X/2021,2021,UNSRAT,s1arsitektur@UNSRAT.ac.id
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Gambar Arsitektur,D3,5,6199/SK/BAN-PT/PEPA-Ppj/D3/IV/2025,2025,STARS YKPN,d3gambararsitektur@STARSYKPN.ac.id
Universitas Muhammadiyah Aceh,Arsitektur,S1,13,6190/SK/BAN-PT/PEPA-Ppj/S/IV/2025,2025,UNMUHA,s1arsitektur@UNMUHA.ac.id
Universitas Presiden,Arsitektur,S1,4,6082/SK/BAN-PT/Ak.P/S/III/2025,2025,PRESIDENT UNIVERSITY,s1arsitektur@PRESIDENTUNIVERSITY.ac.id
Institut Seni Indonesia Surakarta,Arsitektur,S1,PTN,471/SK/BAN-PT/Ak.P/S/III/2025,2025,ISI Surakarta,s1arsitektur@ISISurakarta.ac.id
Universitas Prima Indonesia,Arsitektur,S1,1,426/SK/BAN-PT/Ak/S/III/2025,2025,UNPRI,s1arsitektur@UNPRI.ac.id
Universitas Katolik Parahyangan,Ilmu Arsitektur,S3,4,455/SK/BAN-PT/Ak.Ppj/D/III/2025,2025,UNPAR,s3ilmuarsitektur@UNPAR.ac.id
Universitas Brawijaya,Arsitektur,S1,PTN,430/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,UB,s1arsitektur@UB.ac.id
Institut Sains Dan Teknologi Nasional,Arsitektur Lanskap,S1,3,390/SK/BAN-PT/Ak/S/III/2025,2025,ISTN,s1arsitekturlanskap@ISTN.ac.id
Institut Sains Dan Teknologi Nasional,Arsitektur,S1,3,8216/SK/BAN-PT/Ak.KP/S/XI/2025,2025,ISTN,s1arsitektur@ISTN.ac.id
Universitas Kristen Duta Wacana,Arsitektur,S2,5,302/SK/BAN-PT/Ak/M/II/2025,2025,UKDW,s2arsitektur@UKDW.ac.id
Universitas Yapis Papua,Arsitektur,S1,14,317/SK/BAN-PT/Ak.P/S/II/2025,2025,UNIYAP,s1arsitektur@UNIYAP.ac.id
Politeknik Negeri Sriwijaya,Arsitektur Bangunan Gedung,D4,PTN,141/SK/BAN-PT/Ak.P/STr/I/2025,2025,POLSRI,d4arsitekturbangunangedung@POLSRI.ac.id
Institut Teknologi Bandung,Arsitektur,S2,PTN,160/SK/BAN-PT/Ak.Ppj/M/I/2025,2025,ITB,s2arsitektur@ITB.ac.id
Institut Teknologi Bandung,Arsitektur,S1,PTN,159/SK/BAN-PT/Ak.Ppj/S/I/2025,2025,ITB,s1arsitektur@ITB.ac.id
Institut Teknologi Bacharuddin Jusuf Habibie,Arsitektur,S1,PTN,28/SK/BAN-PT/Ak.P/S/I/2025,2025,ITH,s1arsitektur@ITH.ac.id
Universitas Al Washliyah Darussalam Banda Aceh,Arsitektur,S1,13,78/SK/BAN-PT/Ak.P/S/I/2025,2025,UNIVA,s1arsitektur@UNIVA.ac.id
Universitas Madani,Arsitektur,S1,5,4/SK/BAN-PT/Ak.P/S/I/2025,2025,UMDA,s1arsitektur@UMDA.ac.id
Universitas Sam Ratulangi,Arsitektur,S3,PTN,9/SK/BAN-PT/Ak.P/D/I/2025,2025,UNSRAT,s3arsitektur@UNSRAT.ac.id
Universitas Sebelas Maret,Arsitektur,S1,PTN,448/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,UNS,s1arsitektur@UNS.ac.id
Universitas Borobudur,Arsitektur,S1,3,6225/SK/BAN-PT/Ak.S/S/IV/2025,2025,UNBOR,s1arsitektur@UNBOR.ac.id
Universitas Udayana,Arsitektur,S2,PTN,6241/SK/BAN-PT/Ak.KP/M/IV/2025,2025,UNUD,s2arsitektur@UNUD.ac.id
Universitas Warmadewa,Arsitektur,S1,8,6213/SK/BAN-PT/Ak/S/IV/2025,2025,UNWAR,s1arsitektur@UNWAR.ac.id
Universitas Muhammadiyah Bengkulu,Arsitektur,S1,2,6270/SK/BAN-PT/Ak.P/S/IV/2025,2025,UMB,s1arsitektur@UMB.ac.id
Universitas Negeri Manado,Arsitektur,S1,PTN,6276/SK/BAN-PT/Ak.S/S/IV/2025,2025,UNIMA,s1arsitektur@UNIMA.ac.id
Universitas Tunas Pembangunan Surakarta,Arsitektur,S1,6,6311/SK/BAN-PT/Ak.Ppj/S/IV/2025,2025,UTP,s1arsitektur@UTP.ac.id
Universitas Langlang Buana,Arsitektur,S1,4,6370/SK/BAN-PT/Ak.S/S/V/2025,2025,UNLA,s1arsitektur@UNLA.ac.id
Universitas Merdeka Malang,Arsitektur,S1,7,6362/SK/BAN-PT/Ak.KP/S/V/2025,2025,UNMER Malang,s1arsitektur@UNMERMalang.ac.id
Universitas Tribhuwana Tungga Dewi,Arsitektur Lanskap,S1,7,6556/SK/BAN-PT/Ak.S/S/V/2025,2025,UNITRI,s1arsitekturlanskap@UNITRI.ac.id
Universitas Persada Indonesia Yai,Arsitektur,S1,3,6547/SK/BAN-PT/Ak.KP/S/V/2025,2025,UPI Y.A.I,s1arsitektur@UPIY.A.I.ac.id
Universitas Pelita Harapan,Arsitektur,S1,3,6452/SK/BAN-PT/Ak/S/V/2025,2025,UPH,s1arsitektur@UPH.ac.id
Universitas Islam Negeri Sunan Ampel,Arsitektur,S1,PTAN,6531/SK/BAN-PT/Ak.KP/S/V/2025,2025,UINSA,s1arsitektur@UINSA.ac.id
Universitas Islam Negeri Datokarama Palu,Arsitektur,S1,PTAN,6597/SK/BAN-PT/Ak.P/S/V/2025,2025,UIN Datokarama,s1arsitektur@UINDatokarama.ac.id
Institut Pertanian Bogor,Arsitektur Lanskap,S1,PTN,6645/SK/BAN-PT/Ak.KP/S/V/2025,2025,IPB,s1arsitekturlanskap@IPB.ac.id
Universitas Matana,Arsitektur,S1,4,6619/SK/BAN-PT/Ak/S/V/2025,2025,UM,s1arsitektur@UM.ac.id
Universitas Medan Area,Arsitektur,S1,1,6695/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,UMA,s1arsitektur@UMA.ac.id
Universitas Negeri Medan,Arsitektur,S1,PTN,6698/SK/BAN-PT/Ak/S/V/2025,2025,UNIMED,s1arsitektur@UNIMED.ac.id
Universitas Islam Indonesia,Arsitektur,S1,5,6762/SK/BAN-PT/Ak.Ppj/S/VI/2025,2025,UII,s1arsitektur@UII.ac.id
Universitas Ubudiyah Indonesia,Arsitektur,S1,13,6809/SK/BAN-PT/Ak/S/VI/2025,2025,UUI,s1arsitektur@UUI.ac.id
Universitas Lambung Mangkurat,Arsitektur,S2,PTN,2403/SK/BAN-PT/Ak.P/S2/IV/2025,2025,ULM,s2arsitektur@ULM.ac.id
Universitas Indo Global Mandiri,Arsitektur,S1,2,6955/SK/BAN-PT/Ak/S1/VII/2025,2025,UIGM,s1arsitektur@UIGM.ac.id
Universitas Faletehan,Arsitektur (Kampus Kota Bandung),S1,4,7074/SK/BAN-PT/Ak.S/S1/VII/2025,2025,UF,s1arsitekturkampuskotabandung@UF.ac.id
Universitas Madako Tolitoli,Arsitektur,S1,16,7078/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,UMTOL,s1arsitektur@UMTOL.ac.id
Universitas Diponegoro,Teknik Infrastruktur Sipil Dan Perancangan Arsitektur,D4,PTN,0647/SK/LAM Teknik/VST/VIII/2025,2025,UNDIP,d4teknikinfrastruktursipildanperancanganarsitektur@UNDIP.ac.id
Universitas Gunadarma,Arsitektur (Kampus Kabupaten Penajam Paser Utara),S1,3,7128/SK/BAN-PT/Ak.P/S/VIII/2025,2025,UG,s1arsitekturkampuskabupatenpenajampaserutara@UG.ac.id
Universitas Subang,Arsitektur,S1,4,7124/SK/BAN-PT/Ak.S/S/VIII/2025,2025,UNSUB,s1arsitektur@UNSUB.ac.id
Universitas Hasanuddin,Ilmu Arsitektur,S3,PTN,7232/SK/BAN-PT/Ak.Ppj/D/VIII/2025,2025,UNHAS,s3ilmuarsitektur@UNHAS.ac.id
Institut Teknologi Adhi Tama Surabaya,Arsitektur,S1,7,7312/SK/BAN-PT/Ak.S/S/VIII/2025,2025,ITATS,s1arsitektur@ITATS.ac.id
Universitas Multimedia Nusantara Jakarta,Arsitektur,S1,3,7318/SK/BAN-PT/Ak/S/VIII/2025,2025,UMN,s1arsitektur@UMN.ac.id
Universitas Tridinanti,Arsitektur,S1,2,7507/SK/BAN-PT/Ak.S/S/IX/2025,2025,UNTRI,s1arsitektur@UNTRI.ac.id
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Arsitektur,S1,PTAN,7464/SK/BAN-PT/Ak.P/S/IX/2025,2025,UIN STS Jambi,s1arsitektur@UINSTSJambi.ac.id
Universitas Kristen Petra,Arsitektur,S1,7,7469/SK/BAN-PT/Ak.Ppj/S/IX/2025,2025,UK Petra,s1arsitektur@UKPetra.ac.id
Universitas Katolik Darma Cendika,Arsitektur,S1,7,7491/SK/BAN-PT/Ak.Ppj/S/IX/2025,2025,UKDC,s1arsitektur@UKDC.ac.id
Universitas Krisnadwipayana,Arsitektur,S1,3,7515/SK/BAN-PT/Ak.S/S/IX/2025,2025,UNKRIS,s1arsitektur@UNKRIS.ac.id
Universitas Lampung,Arsitektur,S1,PTN,7444/SK/BAN-PT/Ak/S/IX/2025,2025,UNILA,s1arsitektur@UNILA.ac.id
Universitas Jayabaya,Arsitektur,S1,3,7516/SK/BAN-PT/Ak.S/S/IX/2025,2025,UJ,s1arsitektur@UJ.ac.id
Universitas Negeri Yogyakarta,Arsitektur,S1,PTN,7551/SK/BAN-PT/Ak.P/S/IX/2025,2025,UNY,s1arsitektur@UNY.ac.id
Institut Desain Dan Bisnis Bali,Arsitektur,S1,8,7129/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,IDB Bali,s1arsitektur@IDBBali.ac.id
Politeknik Dewantara,Arsitektur Bangunan Gedung,D4,9,7138/SK/BAN-PT/Ak.P/D4/VIII/2025,2025,POLIDEWA,d4arsitekturbangunangedung@POLIDEWA.ac.id
Universitas Klabat,Arsitektur,S1,16,7169/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,UNKLAB,s1arsitektur@UNKLAB.ac.id
Universitas Kristen Indonesia Tomohon,Arsitektur,S1,16,7610/SK/BAN-PT/Ak/S/IX/2025,2025,UKIT,s1arsitektur@UKIT.ac.id
Politeknik Negeri Pontianak,Arsitektur,D3,PTN,7796/SK/BAN-PT/Ak.S/D3/X/2025,2025,POLNEP,d3arsitektur@POLNEP.ac.id
Universitas Islam Negeri Sunan Kalijaga,Arsitektur,S1,PTAN,7746/SK/BAN-PT/Ak.S/S/X/2025,2025,UIN Suka,s1arsitektur@UINSuka.ac.id
Universitas Muhammadiyah Kendari,Arsitektur,S1,9,7824/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,UMKENDARI,s1arsitektur@UMKENDARI.ac.id
Universitas Wijayakusuma Purwokerto,Arsitektur,S1,6,7901/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,UNWIKU,s1arsitektur@UNWIKU.ac.id
Universitas Nahdlatul Ulama Sulawesi Tenggara,Teknik Arsitektur,S1,9,7873/SK/BAN-PT/Ak.S/S/X/2025,2025,UNUSRA,s1teknikarsitektur@UNUSRA.ac.id
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S1,7,7908/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,UNTAG Surabaya,s1arsitektur@UNTAGSurabaya.ac.id
Universitas Udayana,Arsitektur Lanskap,S1,PTN,8027/SK/BAN-PT/Ak-PNB/S/X/2025,2025,UNUD,s1arsitekturlanskap@UNUD.ac.id
Universitas Winaya Mukti,Arsitektur,S1,4,8118/SK/BAN-PT/Ak.S/S/X/2025,2025,UNWIM,s1arsitektur@UNWIM.ac.id
Universitas Ngurah Rai,Arsitektur,S1,8,8109/SK/BAN-PT/Ak.S/S/X/2025,2025,UNAR,s1arsitektur@UNAR.ac.id
Universitas Komputer Indonesia,Teknik Arsitektur,S1,4,8092/SK/BAN-PT/Ak/S/X/2025,2025,UNIKOM,s1teknikarsitektur@UNIKOM.ac.id
Universitas Islam Negeri Alauddin Makassar,Teknik Arsitektur,S1,PTAN,8222/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UIN Alauddin,s1teknikarsitektur@UINAlauddin.ac.id
Universitas Sam Ratulangi,Arsitektur,S2,PTN,8232/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,UNSRAT,s2arsitektur@UNSRAT.ac.id
Universitas Tarumanagara,Arsitektur,S1,3,8219/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UNTAR,s1arsitektur@UNTAR.ac.id
Universitas Trisakti,Arsitektur,S2,3,8175/SK/BAN-PT/Ak/M/XI/2025,2025,Usakti,s2arsitektur@Usakti.ac.id
Universitas Muhammadiyah Semarang,Arsitektur,S1,6,8340/SK/BAN-PT/Ak/S/XI/2025,2025,UNIMUS,s1arsitektur@UNIMUS.ac.id
Universitas Negeri Gorontalo,Arsitektur Bangunan Gedung,D4,PTN,8339/SK/BAN-PT/Ak/STr/XI/2025,2025,UNG,d4arsitekturbangunangedung@UNG.ac.id
Universitas Persatuan Guru Republik Indonesia Semarang,Arsitektur,S1,6,8396/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UPGRIS,s1arsitektur@UPGRIS.ac.id
Universitas Palangka Raya,Arsitektur,S1,PTN,8449/SK/BAN-PT/Ak.KP/S/XII/2025,2025,UPR,s1arsitektur@UPR.ac.id
Universitas Gunadarma,Arsitektur,S2,3,8496/SK/BAN-PT/Ak.Ppj/M/XII/2025,2025,UG,s2arsitektur@UG.ac.id
Universitas Negeri Surabaya,Arsitektur Bangunan Gedung,D4,PTN,087/SK/BAN-PT/Ak.P/2.0/D4/XII/2025,2025,UNESA,d4arsitekturbangunangedung@UNESA.ac.id
Universitas Andalas,Arsitektur,S1,PTN,40/SK/BAN-PT/Ak.P/S/I/2024,2024,UNAND,s1arsitektur@UNAND.ac.id
Universitas Trisakti,Arsitektur Lansekap,S1,3,6079/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,Usakti,s1arsitekturlansekap@Usakti.ac.id
Institut Pertanian Bogor,Arsitektur Lanskap,S2,PTN,121/SK/BAN-PT/Ak.Ppj/M/I/2024,2024,IPB,s2arsitekturlanskap@IPB.ac.id
Universitas Pendidikan Indonesia,Arsitektur,S1,PTN,250/SK/BAN-PT/PEPA-Ppj/S/I/2024,2024,UPI,s1arsitektur@UPI.ac.id
Universitas Bung Hatta,Arsitektur,S2,10,241/SK/BAN-PT/PEPA-Ppj/M/I/2024,2024,UBH,s2arsitektur@UBH.ac.id
Universitas Muslim Indonesia,Arsitektur,S1,9,305/SK/BAN-PT/PEPA-Ppj/S/I/2024,2024,UMI,s1arsitektur@UMI.ac.id
Universitas Katolik Santo Thomas,Arsitektur,S1,1,944/SK/BAN-PT/Ak.Ppj/S/III/2024,2024,UNIKA Santo Thomas,s1arsitektur@UNIKASantoThomas.ac.id
Universitas Muhammadiyah Surabaya,Arsitektur,S1,7,740/SK/BAN-PT/Ak/S/III/2024,2024,UM Surabaya,s1arsitektur@UMSurabaya.ac.id
Universitas Pembangunan Panca Budi,Arsitektur,S1,1,735/SK/BAN-PT/Ak/S/III/2024,2024,UNPAB,s1arsitektur@UNPAB.ac.id
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,Arsitektur,S1,PTAN,844/SK/BAN-PT/Ak.P/S/III/2024,2024,UIN SAIZU,s1arsitektur@UINSAIZU.ac.id
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Arsitektur,S1,5,725/SK/BAN-PT/Ak/S/III/2024,2024,STARS YKPN,s1arsitektur@STARSYKPN.ac.id
Universitas Negeri Semarang,Teknik Arsitektur,S1,PTN,605/SK/BAN-PT/Ak/S/II/2024,2024,UNNES,s1teknikarsitektur@UNNES.ac.id
Universitas Tanri Abeng,Arsitektur,S1,3,608/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,TA UNIVERSITY,s1arsitektur@TAUNIVERSITY.ac.id
Politeknik Negeri Bengkalis,Teknologi Rekayasa Arsitektur Perkapalan,D4,PTN,354/SK/BAN-PT/Ak/STr/II/2024,2024,POLBENG,d4teknologirekayasaarsitekturperkapalan@POLBENG.ac.id
Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,Arsitektur,S1,7,339/SK/BAN-PT/Ak/S/II/2024,2024,ITB ADL,s1arsitektur@ITBADL.ac.id
Universitas Sriwijaya,Arsitektur,S1,PTN,462/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,UNSRI,s1arsitektur@UNSRI.ac.id
Universitas Tadulako,Arsitektur,S2,PTN,439/SK/BAN-PT/Ak.P/M/II/2024,2024,UNTAD,s2arsitektur@UNTAD.ac.id
Universitas Trisakti,Arsitektur,S3,3,6955/SK/BAN-PT/Ak.P/D/XII/2024,2024,Usakti,s3arsitektur@Usakti.ac.id
Universitas Muhammadiyah Banjarmasin,Arsitektur,S1,11,6928/SK/BAN-PT/Ak.Ppj/S/XI/2024,2024,UMB,s1arsitektur@UMB.ac.id
Universitas Indonesia,Arsitektur,S2,PTN,6741/SK/BAN-PT/Ak.KP/M/XI/2024,2024,UI,s2arsitektur@UI.ac.id
Universitas Lambung Mangkurat,Arsitektur,S1,PTN,6700/SK/BAN-PT/Ak/S/XI/2024,2024,ULM,s1arsitektur@ULM.ac.id
Universitas Trisakti,Arsitektur,S1,3,6730/SK/BAN-PT/Ak.KP/S/XI/2024,2024,Usakti,s1arsitektur@Usakti.ac.id
Universitas Katolik Widya Mandira Kupang,Arsitektur,S1,15,6536/SK/BAN-PT/Ak/S/XI/2024,2024,UNWIRA,s1arsitektur@UNWIRA.ac.id
Universitas Katolik Parahyangan,Arsitektur,S1,4,6525/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,UNPAR,s1arsitektur@UNPAR.ac.id
Universitas Kaltara,Arsitektur,S1,11,6320/SK/BAN-PT/Ak/S/X/2024,2024,UKALTARA,s1arsitektur@UKALTARA.ac.id
Universitas Muhammadiyah Jakarta,Arsitektur,S1,3,6406/SK/BAN-PT/PEPA-Ppj/S/X/2024,2024,UMJ,s1arsitektur@UMJ.ac.id
