Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas Nusa Nipa,Arsitektur,S1,15,5741/SK/BAN-PT/Ak.Ppj/S/VIII/2022,2022,unipa_maumere@yahoo.com,Baik,2026-10-21,144 hari lagi kadaluarsa
Universitas Hasanuddin,Arsitektur,S2,PTN,5810/SK/BAN-PT/Ak.Ppj/M/VIII/2022,2022,info@pascaunhas.net,B,2027-09-13,Masih Berlaku
Institut Teknologi Kalimantan,Arsitektur,S1,PTN,5909/SK/BAN-PT/Ak/S/IX/2022,2022,ars@itk.ac.id,Baik,2027-09-06,Masih Berlaku
Sekolah Tinggi Ilmu Teknik Trisula,Arsitektur,S1,2,5912/SK/BAN-PT/Ak/S/IX/2022,2022,trisulabengkulu@yahoo.com,Baik,2027-09-06,Masih Berlaku
Universitas Nahdlatul Ulama Kalimantan Selatan,Teknik Arsitektur,S1,11,5983/SK/BAN-PT/Ak/S/IX/2022,2022,info@unukalsel.ac.id,Baik,2027-09-07,Masih Berlaku
Universitas Pandanaran,Arsitektur,S1,6,6895/SK/BAN-PT/Ak.KP/S/X/2022,2022,unpan@yahoo.com,Baik,2027-01-11,Masih Berlaku
Universitas Bina Taruna Gorontalo,Arsitektur,S1,16,7309/SK/BAN-PT/Ak.KP/S/X/2022,2022,info@unbitar.ac.id,Baik,2026-06-18,19 hari lagi kadaluarsa
Universitas Nahdlatul Ulama Gorontalo,Arsitektur,S1,16,7982/SK/BAN-PT/Ak/S/X/2022,2022,unugortal@gmail.com,Baik,2027-10-18,Masih Berlaku
Universitas Ichsan Gorontalo,Teknik Arsitektur,S1,16,8455/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,ft.unisan.gorontalo@gmail.com,Baik,2027-10-25,Masih Berlaku
Universitas Negeri Makassar,Arsitektur,S1,PTN,9677/SK/BAN-PT/Ak/S/XI/2022,2022,humas@unm.ac.id,Baik,2027-11-22,Masih Berlaku
Universitas Nahdlatul Ulama Kalimantan Timur,Arsitektur,S1,11,9678/SK/BAN-PT/Ak/S/XI/2022,2022,unukaltim@gmail.com,Baik,2027-11-22,Masih Berlaku
Universitas Negeri Gorontalo,Teknik Arsitektur,S1,PTN,10067/SK/BAN-PT/Ak/S/XI/2022,2022,arsitektur_ung@yahoo.com,Baik Sekali,2027-11-29,Masih Berlaku
Universitas Atma Jaya Yogyakarta,Arsitektur,S2,5,135/SK/BAN-PT/Ak-PPJ/M/I/2021,2025,pasca@uajy.ac.id,A,2030-12-31,Masih Berlaku
Universitas Internasional Batam,Arsitektur,S1,17,877/SK/BAN-PT/Akred/S/II/2021,2026,info@uib.edu,Baik,,Masih Berlaku
Universitas Islam Negeri Walisongo Semarang,Ilmu Seni Dan Arsitektur Islam,S1,PTAN,1722/SK/BAN-PT/Akred/S/III/2021,2026,fuhum@walisongo.ac.id,Baik Sekali,2031-03-10,Masih Berlaku
Universitas Bina Nusantara,Arsitektur,S1,3,2300/SK/BAN-PT/Ak-PPJ/S/IV/2021,2026,misnaeni@binus.edu,Unggul,2031-04-23,Masih Berlaku
Universitas Widya Mataram,Arsitektur,S1,5,2544/SK/BAN-PT/Ak-PPJ/S/IV/2021,2026,ft@widyamataram.ac.id,B,2027-04-30,Masih Berlaku
Universitas Katolik Parahyangan,Arsitektur,S2,4,2516/SK/BAN-PT/Ak-PPJ/M/IV/2021,2026,pasca@home.unpar.ac.id,A,2031-04-30,Masih Berlaku
Universitas Kristen Maranatha,Arsitektur,S1,4,2682/SK/BAN-PT/Akred/S/V/2021,2026,architecture.creahum@maranatha.edu,Baik,2027-05-05,Masih Berlaku
Universitas Selamat Sri,Arsitektur,S1,6,2740/SK/BAN-PT/Ak-TMSP/S/V/2021,2021,arsitektur.uniss@gmail.com,Tidak Terakreditasi,,Tidak Ada Data
Politeknik Negeri Pontianak,Arsitektur Bangunan Gedung,D-IV,PTN,3038/SK/BAN-PT/Akred/ST/V/2021,2026,jta.polnep@gmail.com,Baik,2031-05-19,Masih Berlaku
Universitas Katolik Soegijapranata,Arsitektur,S2,6,2980/SK/BAN-PT/AK-ISK/M/V/2021,2026,mtaunika@yahoo.co.id,Baik Sekali,2031-04-23,Masih Berlaku
Universitas Syiah Kuala,Arsitektur,S2,PTN,9424/SK/BAN-PT/Akred/M/VII/2021,2021,s2ars@unsyiah.ac.id,Baik,2026-07-13,44 hari lagi kadaluarsa
Universitas Ibrahimy,Arsitektur,S1,7,9671/SK/BAN-PT/Akred/S/VII/2021,2021,unib2018@ibrahimy.ac.id,Baik,2026-07-21,52 hari lagi kadaluarsa
Institut Teknologi Garut,Arsitektur,S1,4,10720/SK/BAN-PT/PB-PS/S/IX/2021,2021,arsitektur@itg.ac.id,Baik,2026-07-01,32 hari lagi kadaluarsa
Universitas Hasanuddin,Arsitektur,S1,PTN,10813/SK/BAN-PT/AK-ISK/S/IX/2021,2021,arsitek@ft.unhas.ac.id,Unggul,2026-06-18,19 hari lagi kadaluarsa
Universitas Tomakaka,Arsitektur,S1,9,11083/SK/BAN-PT/Akred/S/IX/2021,2021,tarsitektur.unika@gmail.com,Baik,2026-09-28,121 hari lagi kadaluarsa
Universitas Agung Podomoro,Arsitektur,S1,3,11782/SK/BAN-PT/Akred/S/X/2021,2021,rektorat@podomorouniversity.ac.id,Baik Sekali,2026-10-19,142 hari lagi kadaluarsa
Universitas Indonesia,Arsitektur,S1,PTN,11713/SK/BAN-PT/AK-ISK/S/X/2021,2021,arsitektur@eng.ui.ac.id,Unggul,2026-09-03,96 hari lagi kadaluarsa
Institut Teknologi Calvin,Arsitektur,S1,3,11875/SK/BAN-PT/Akred/S/X/2021,2021,info@calvin.ac.id,Baik,2026-10-26,149 hari lagi kadaluarsa
Universitas Nusantara Manado,Arsitektur,S1,16,12071/SK/BAN-PT/Akred/S/XI/2021,2021,info@nusantara.ac.id,Baik,2026-11-02,156 hari lagi kadaluarsa
Universitas Quality Berastagi,Arsitektur,S1,1,12565/SK/BAN-PT/Akred/S/XI/2021,2021,info@uqb.ac.id,Baik,2026-11-24,178 hari lagi kadaluarsa
Universitas Bhinneka PGRI,Arsitektur,S1,7,12747/SK/BAN-PT/Akred/S/XII/2021,2021,arsitektur@ubhi.ac.id,Baik,2026-12-01,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Arsitektur,S1,PTN,12847/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,arsitektur@its.ac.id,A,2026-11-25,179 hari lagi kadaluarsa
Universitas Gunadarma,Arsitektur,S1,3,13442/SK/BAN-PT/AK-ISK/S/XII/2021,2021,mediacenter@gunadarma.ac.id,Unggul,2026-06-18,19 hari lagi kadaluarsa
Universitas Muhammadiyah Surakarta,Arsitektur,S1,6,13456/SK/BAN-PT/AK-ISK/S/XII/2021,2021,arsitektur@ums.ac.id,Unggul,2026-09-30,123 hari lagi kadaluarsa
Universitas Ekasakti,Arsitektur,S1,10,13831/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,puskom@univ-ekasakti-pdg.ac.id,B,2026-12-28,Masih Berlaku
Universitas Lancang Kuning,Arsitektur,S1,17,13847/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,arsitektur@unilak.ac.id,B,2026-12-28,Masih Berlaku
Universitas Sam Ratulangi,Arsitektur,S1,PTN,11709/SK/BAN-PT/Akred-PMT/S/X/2021,2021,sim_usr@unsrat.ac.id,Unggul,2026-10-19,142 hari lagi kadaluarsa
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Gambar Arsitektur,D-III,5,6199/SK/BAN-PT/PEPA-Ppj/D3/IV/2025,2025,admin@starsykpn.ac.id,Baik,2030-04-14,Masih Berlaku
Universitas Muhammadiyah Aceh,Arsitektur,S1,13,6190/SK/BAN-PT/PEPA-Ppj/S/IV/2025,2026,prodi.arsitektur@unmuha.ac.id,Baik,2031-03-03,Masih Berlaku
Universitas Presiden,Arsitektur,S1,4,6082/SK/BAN-PT/Ak.P/S/III/2025,2025,arc@president.ac.id,Baik,2030-12-16,Masih Berlaku
Institut Seni Indonesia Surakarta,Arsitektur,S1,PTN,471/SK/BAN-PT/Ak.P/S/III/2025,2025,info@isi-ska.ac.id,Terakreditasi Sementara,2030-03-19,Masih Berlaku
Universitas Prima Indonesia,Arsitektur,S1,1,426/SK/BAN-PT/Ak/S/III/2025,2025,info@unprimdn.ac.id,Baik,2030-03-19,Masih Berlaku
Universitas Katolik Parahyangan,Ilmu Arsitektur,S3,4,455/SK/BAN-PT/Ak.Ppj/D/III/2025,2025,pasca@home.unpar.ac.id,Baik Sekali,2030-03-30,Masih Berlaku
Universitas Brawijaya,Arsitektur,S1,PTN,430/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,arsftub@ub.ac.id,Unggul,2030-03-16,Masih Berlaku
Institut Sains Dan Teknologi Nasional,Arsitektur Lanskap,S1,3,390/SK/BAN-PT/Ak/S/III/2025,2025,info@istn.ac.id,Baik,2030-03-11,Masih Berlaku
Institut Sains Dan Teknologi Nasional,Arsitektur,S1,3,8216/SK/BAN-PT/Ak.KP/S/XI/2025,2025,fti@istn.ac.id,Baik Sekali,2030-03-19,Masih Berlaku
Universitas Kristen Duta Wacana,Arsitektur,S2,5,302/SK/BAN-PT/Ak/M/II/2025,2025,admin.mars@staff.ukdw.ac.id,Baik Sekali,2030-02-25,Masih Berlaku
Universitas Yapis Papua,Arsitektur,S1,14,317/SK/BAN-PT/Ak.P/S/II/2025,2025,arsitekturuniyap@gmail.com,Baik,2027-02-25,Masih Berlaku
Politeknik Negeri Sriwijaya,Arsitektur Bangunan Gedung,D-IV,PTN,141/SK/BAN-PT/Ak.P/STr/I/2025,2025,info@polsri.ac.id,Terakreditasi Sementara,2030-01-21,Masih Berlaku
Institut Teknologi Bandung,Arsitektur,S2,PTN,160/SK/BAN-PT/Ak.Ppj/M/I/2025,2025,sekres2@ar.itb.ac.id,Unggul,2030-01-31,Masih Berlaku
Institut Teknologi Bandung,Arsitektur,S1,PTN,159/SK/BAN-PT/Ak.Ppj/S/I/2025,2025,sekres2@ar.itb.ac.id,Unggul,2030-01-31,Masih Berlaku
Institut Teknologi Bacharuddin Jusuf Habibie,Arsitektur,S1,PTN,28/SK/BAN-PT/Ak.P/S/I/2025,2025,info@itbh.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Al Washliyah Darussalam Banda Aceh,Arsitektur,S1,13,78/SK/BAN-PT/Ak.P/S/I/2025,2025,unadabna@gmail.com,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Madani,Arsitektur,S1,5,4/SK/BAN-PT/Ak.P/S/I/2025,2025,info@umad.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Sam Ratulangi,Arsitektur,S3,PTN,9/SK/BAN-PT/Ak.P/D/I/2025,2025,humas@unsrat.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Sebelas Maret,Arsitektur,S1,PTN,448/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,arsitek.@uns.ac.id,Unggul,2030-04-02,Masih Berlaku
Universitas Borobudur,Arsitektur,S1,3,6225/SK/BAN-PT/Ak.S/S/IV/2025,2026,ft@borobudur.ac.id,Baik Sekali,2031-03-10,Masih Berlaku
Universitas Udayana,Arsitektur,S2,PTN,6241/SK/BAN-PT/Ak.KP/M/IV/2025,2025,pasca.arsitektur@ar.unud.ac.id,Unggul,2027-08-02,Masih Berlaku
Universitas Warmadewa,Arsitektur,S1,8,6213/SK/BAN-PT/Ak/S/IV/2025,2025,ft.ta@warmadewa.ac.id,Unggul,2030-04-22,Masih Berlaku
Universitas Muhammadiyah Bengkulu,Arsitektur,S1,2,6270/SK/BAN-PT/Ak.P/S/IV/2025,2025,arch.umb2022@gmail.com,Baik,2027-04-29,Masih Berlaku
Universitas Negeri Manado,Arsitektur,S1,PTN,6276/SK/BAN-PT/Ak.S/S/IV/2025,2025,humas@unima.ac.id,Baik,,Masih Berlaku
Universitas Tunas Pembangunan Surakarta (UTP),Arsitektur,S1,6,6311/SK/BAN-PT/Ak.Ppj/S/IV/2025,2025,arsitektur@utp.ac.id,B,2030-05-04,Masih Berlaku
Universitas Langlang Buana,Arsitektur,S1,4,6370/SK/BAN-PT/Ak.S/S/V/2025,2026,unlanet_kr@yahoo.co.id,Baik Sekali,2031-03-31,Masih Berlaku
Universitas Merdeka Malang,Arsitektur,S1,7,6362/SK/BAN-PT/Ak.KP/S/V/2025,2025,arsitektur@unmer.ac.id,Baik Sekali,2030-03-19,Masih Berlaku
Universitas Tribhuwana Tungga Dewi,Arsitektur Lanskap,S1,7,6556/SK/BAN-PT/Ak.S/S/V/2025,2026,landscape@unitri.ac.id,Baik Sekali,2031-02-03,Masih Berlaku
Universitas Pelita Harapan,Arsitektur,S1,3,6452/SK/BAN-PT/Ak/S/V/2025,2025,architecture@uph.edu,Baik Sekali,2030-05-14,Masih Berlaku
Universitas Islam Negeri Datokarama Palu,Arsitektur,S1,PTAN,6597/SK/BAN-PT/Ak.P/S/V/2025,2025,info@uindatokarama.ac.id,Baik,2027-05-15,Masih Berlaku
Institut Pertanian Bogor,Arsitektur Lanskap,S1,PTN,6645/SK/BAN-PT/Ak.KP/S/V/2025,2025,landscapearch@apps.ipb.ac.id,Unggul,2029-07-03,Masih Berlaku
Universitas Medan Area,Arsitektur,S1,1,6695/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,arsitektur@uma.ac.id,Baik Sekali,2030-05-06,Masih Berlaku
Universitas Negeri Medan,Arsitektur,S1,PTN,6698/SK/BAN-PT/Ak/S/V/2025,2025,humas@unimed.ac.id,Baik,2030-05-27,Masih Berlaku
Universitas Islam Indonesia,Arsitektur,S1,5,6762/SK/BAN-PT/Ak.Ppj/S/VI/2025,2025,architecture@uii.ac.id,Unggul,2030-06-17,Masih Berlaku
Universitas Ubudiyah Indonesia,Arsitektur,S1,13,6809/SK/BAN-PT/Ak/S/VI/2025,2025,info@uui.ac.id,Baik,2030-06-14,Masih Berlaku
Universitas Lambung Mangkurat,Arsitektur,S2,PTN,2403/SK/BAN-PT/Ak.P/S2/IV/2025,2025,humas@ulm.ac.id,Terakreditasi Sementara,2030-04-22,Masih Berlaku
Universitas Indo Global Mandiri,Arsitektur,S1,2,6955/SK/BAN-PT/Ak/S1/VII/2025,2025,arsitektur@uigm.ac.id,Baik Sekali,2030-07-08,Masih Berlaku
Universitas Faletehan,Arsitektur (Kampus Kota Bandung),S1,4,7074/SK/BAN-PT/Ak.S/S1/VII/2025,2025,info@uf.ac.id,Baik,,Masih Berlaku
Universitas Madako Tolitoli,Arsitektur,S1,16,7078/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,info@umada.ac.id,Baik,2030-07-22,Masih Berlaku
Universitas Diponegoro,Teknik Infrastruktur Sipil Dan Perancangan Arsitektur,D-IV,PTN,0647/SK/LAM Teknik/VST/VIII/2025,2025,pilar@live.undip.ac.id,Unggul,2030-08-20,Masih Berlaku
Universitas Gunadarma,Arsitektur (Kampus Kabupaten Penajam Paser Utara),S1,3,7128/SK/BAN-PT/Ak.P/S/VIII/2025,2026,mediacenter@gunadarma.ac.id,Baik,2031-05-26,Masih Berlaku
Universitas Subang,Arsitektur,S1,4,7124/SK/BAN-PT/Ak.S/S/VIII/2025,2025,info@unsub.ac.id,Baik,,Masih Berlaku
Universitas Hasanuddin,Ilmu Arsitektur,S3,PTN,7232/SK/BAN-PT/Ak.Ppj/D/VIII/2025,2025,info@unhas.ac.id,A,2030-07-22,Masih Berlaku
Institut Teknologi Adhi Tama Surabaya,Arsitektur,S1,7,7312/SK/BAN-PT/Ak.S/S/VIII/2025,2026,arsitektur.dept@itats.ac.id,Baik Sekali,2031-03-17,Masih Berlaku
Universitas Multimedia Nusantara Jakarta,Arsitektur,S1,3,7318/SK/BAN-PT/Ak/S/VIII/2025,2025,arsitektur.umn@umn.ac.id,B,2028-05-31,Masih Berlaku
Universitas Tridinanti,Arsitektur,S1,2,7507/SK/BAN-PT/Ak.S/S/IX/2025,2025,arsitektur@univ-tridinanti.ac.id,B,,Masih Berlaku
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Arsitektur,S1,PTAN,7464/SK/BAN-PT/Ak.P/S/IX/2025,2025,info@uinjambi.ac.id,Baik,2027-09-02,Masih Berlaku
Universitas Kristen Petra,Arsitektur,S1,7,7469/SK/BAN-PT/Ak.Ppj/S/IX/2025,2025,kj-ars@petra.ac.id,Unggul,2030-09-05,Masih Berlaku
Universitas Katolik Darma Cendika,Arsitektur,S1,7,7491/SK/BAN-PT/Ak.Ppj/S/IX/2025,2025,info@ukdc.ac.id,B,2030-09-05,Masih Berlaku
Universitas Krisnadwipayana,Arsitektur,S1,3,7515/SK/BAN-PT/Ak.S/S/IX/2025,2026,humas@unkris.ac.id,Baik Sekali,2031-03-10,Masih Berlaku
Universitas Lampung,Arsitektur,S1,PTN,7444/SK/BAN-PT/Ak/S/IX/2025,2025,humas@kpa.unila.ac.id,Baik Sekali,2030-09-02,Masih Berlaku
Universitas Jayabaya,Arsitektur,S1,3,7516/SK/BAN-PT/Ak.S/S/IX/2025,2025,ftspjaya@yahoo.co.id,B,,Masih Berlaku
Universitas Negeri Yogyakarta,Arsitektur,S1,PTN,7551/SK/BAN-PT/Ak.P/S/IX/2025,2025,humas@uny.ac.id,Baik,2027-09-09,Masih Berlaku
Institut Desain Dan Bisnis Bali,Arsitektur,S1,8,7129/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,info@idbbali.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Politeknik Dewantara,Arsitektur Bangunan Gedung,D4,9,7138/SK/BAN-PT/Ak.P/D4/VIII/2025,2025,info@politeknikdewantara.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Klabat,Arsitektur,S1,16,7169/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,info@unklab.ac.id,Terakreditasi Sementara,2030-09-09,Masih Berlaku
Universitas Kristen Indonesia Tomohon,Arsitektur,S1,16,7610/SK/BAN-PT/Ak/S/IX/2025,2025,ukit.gmim@gmail.com,Baik,2030-09-16,Masih Berlaku
Politeknik Negeri Pontianak,Arsitektur,D-III,PTN,7796/SK/BAN-PT/Ak.S/D3/X/2025,2025,kampus@polnep.ac.id,B,2031-06-17,Masih Berlaku
Universitas Islam Negeri Sunan Kalijaga,Arsitektur,S1,PTAN,7746/SK/BAN-PT/Ak.S/S/X/2025,2025,humas@uin-suka.ac.id,Baik,2031-06-09,Masih Berlaku
Universitas Muhammadiyah Kendari,Arsitektur,S1,9,7824/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,unismuh_kdi@yahoo.com,Baik,2030-10-06,Masih Berlaku
Universitas Wijayakusuma Purwokerto,Arsitektur,S1,6,7901/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,info@unwiku.ac.id,Baik,2030-10-07,Masih Berlaku
Universitas Nahdlatul Ulama Sulawesi Tenggara,Teknik Arsitektur,S1,9,7873/SK/BAN-PT/Ak.S/S/X/2025,2025,info@unusultra.ac.id,Baik,2030-12-18,Masih Berlaku
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S1,7,7908/SK/BAN-PT/PEPA-Ppj/S/X/2025,2025,arsitektur@untag-sby.ac.id,Baik Sekali,2030-10-07,Masih Berlaku
Universitas Udayana,Arsitektur Lanskap,S1,PTN,8027/SK/BAN-PT/Ak-PNB/S/X/2025,2025,info@unud.ac.id,B,2029-03-06,Masih Berlaku
Universitas Winaya Mukti,Arsitektur,S1,4,8118/SK/BAN-PT/Ak.S/S/X/2025,2025,arsitektur@unwim.ac.id,Baik,,Masih Berlaku
Universitas Ngurah Rai,Arsitektur,S1,8,8109/SK/BAN-PT/Ak.S/S/X/2025,2026,ft@unr.ac.id,Baik Sekali,2031-03-17,Masih Berlaku
Universitas Komputer Indonesia,Teknik Arsitektur,S1,4,8092/SK/BAN-PT/Ak/S/X/2025,2025,arsitektur@email.unikom.ac.id,Baik Sekali,2030-10-28,Masih Berlaku
Universitas Islam Negeri Alauddin Makassar,Teknik Arsitektur,S1,PTAN,8222/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,wasilah.sahabuddin@yahoo.com,A,2030-10-28,Masih Berlaku
Universitas Sam Ratulangi,Arsitektur,S2,PTN,8232/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,humas@unsrat.ac.id,B,2030-11-18,Masih Berlaku
Universitas Tarumanagara,Arsitektur,S1,3,8219/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,prodi.s1ars@ft.untar.ac.id,A,2030-06-10,Masih Berlaku
Universitas Trisakti,Arsitektur,S2,3,8175/SK/BAN-PT/Ak/M/XI/2025,2025,mars@pasca.trisakti.ac.id,Unggul,2030-11-03,Masih Berlaku
Universitas Muhammadiyah Semarang,Arsitektur,S1,6,8340/SK/BAN-PT/Ak/S/XI/2025,2025,arsitektur@unimus.ac.id,Baik,2030-11-18,Masih Berlaku
Universitas Negeri Gorontalo,Arsitektur Bangunan Gedung,D-IV,PTN,8339/SK/BAN-PT/Ak/STr/XI/2025,2025,info@ung.ac.id,Baik,2030-11-18,Masih Berlaku
Universitas Persatuan Guru Republik Indonesia Semarang,Arsitektur,S1,6,8396/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,upgris@upgris.ac.id,Baik Sekali,2030-11-26,Masih Berlaku
Universitas Palangka Raya,Arsitektur,S1,PTN,8449/SK/BAN-PT/Ak.KP/S/XII/2025,2025,dapoe_emel@yahoo.com,Baik Sekali,2029-04-17,Masih Berlaku
Universitas Gunadarma,Arsitektur,S2,3,8496/SK/BAN-PT/Ak.Ppj/M/XII/2025,2025,mediacenter@gunadarma.ac.id,Baik,2030-12-09,Masih Berlaku
Universitas Negeri Surabaya,Arsitektur Bangunan Gedung,D4,PTN,087/SK/BAN-PT/Ak.P/2.0/D4/XII/2025,2025,info@unesa.ac.id,Terakreditasi Pertama,2027-12-02,Masih Berlaku
Universitas Trisakti,Arsitektur Lansekap,S1,3,6079/SK/BAN-PT/Ak.Ppj/S/X/2024,2025,faltl@trisakti.ac.id,Baik Sekali,2029-10-17,Masih Berlaku
Institut Pertanian Bogor,Arsitektur Lanskap,S2,PTN,121/SK/BAN-PT/Ak.Ppj/M/I/2024,2024,arsitekturlanskaps2@apps.ipb.ac.id,Unggul,2029-01-17,Masih Berlaku
Universitas Pendidikan Indonesia,Arsitektur,S1,PTN,250/SK/BAN-PT/PEPA-Ppj/S/I/2024,2026,ps_arsitektur@upi.edu,Unggul,2031-02-24,Masih Berlaku
Universitas Bung Hatta,Arsitektur,S2,10,241/SK/BAN-PT/PEPA-Ppj/M/I/2024,2024,magisterarsitekturubh@yahoo.com,Baik,2028-12-20,Masih Berlaku
Universitas Muslim Indonesia,Arsitektur,S1,9,305/SK/BAN-PT/PEPA-Ppj/S/I/2024,2024,architecture@uii.ac.id,Baik,2028-09-14,Masih Berlaku
Universitas Katolik Santo Thomas,Arsitektur,S1,1,944/SK/BAN-PT/Ak.Ppj/S/III/2024,2024,info@ust.ac.id,B,2029-03-14,Masih Berlaku
Universitas Muhammadiyah Surabaya,Arsitektur,S1,7,740/SK/BAN-PT/Ak/S/III/2024,2024,umsurabaya@yahoo.com,Baik Sekali,2029-03-13,Masih Berlaku
Universitas Pembangunan Panca Budi,Arsitektur,S1,1,735/SK/BAN-PT/Ak/S/III/2024,2024,admin_ft@pancabudi.org,Baik Sekali,2029-03-13,Masih Berlaku
Sekolah Tinggi Arsitektur YKPN Yogyakarta,Arsitektur,S1,5,725/SK/BAN-PT/Ak/S/III/2024,2024,admin@starsykpn.ac.id,Baik,2029-03-05,Masih Berlaku
Universitas Negeri Semarang,Teknik Arsitektur,S1,PTN,605/SK/BAN-PT/Ak/S/II/2024,2024,arsitektur@mail.unnes.ac.id,Baik Sekali,2029-02-27,Masih Berlaku
Universitas Tanri Abeng,Arsitektur,S1,3,608/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,info@tau.ac.id,Baik,2029-02-27,Masih Berlaku
Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,Arsitektur,S1,7,339/SK/BAN-PT/Ak/S/II/2024,2024,info@itbad.ac.id,Baik,2029-02-06,Masih Berlaku
Universitas Sriwijaya,Arsitektur,S1,PTN,462/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,humas@unsri.ac.id,B,2028-09-26,Masih Berlaku
Universitas Tadulako,Arsitektur,S2,PTN,439/SK/BAN-PT/Ak.P/M/II/2024,2024,humas@untad.ac.id,Terakreditasi Sementara,2029-02-20,Masih Berlaku
Universitas Trisakti,Arsitektur,S3,3,6955/SK/BAN-PT/Ak.P/D/XII/2024,2024,humas@trisakti.ac.id,Baik,2026-12-02,Masih Berlaku
Universitas Muhammadiyah Banjarmasin,Arsitektur,S1,11,6928/SK/BAN-PT/Ak.Ppj/S/XI/2024,2024,info@umbjm.ac.id,B,2029-08-14,Masih Berlaku
Universitas Indonesia,Arsitektur,S2,PTN,6741/SK/BAN-PT/Ak.KP/M/XI/2024,2024,arsitektur@eng.ui.ac.id,Unggul,2029-03-13,Masih Berlaku
Universitas Lambung Mangkurat,Arsitektur,S1,PTN,6700/SK/BAN-PT/Ak/S/XI/2024,2024,prodiarsitektur@ulm.ac.id,Baik Sekali,2029-11-12,Masih Berlaku
